FID IID POP
HG01615 HG01615 EUR
HG01617 HG01617 EUR
HG01618 HG01618 EUR
HG01619 HG01619 EUR
HG01620 HG01620 EUR
HG01623 HG01623 EUR
HG01624 HG01624 EUR
HG01625 HG01625 EUR
HG01626 HG01626 EUR
HG01628 HG01628 EUR
HG01630 HG01630 EUR
HG01631 HG01631 EUR
HG01632 HG01632 EUR
HG01668 HG01668 EUR
HG01669 HG01669 EUR
HG01670 HG01670 EUR
HG01672 HG01672 EUR
HG01673 HG01673 EUR
HG01675 HG01675 EUR
HG01676 HG01676 EUR
HG01678 HG01678 EUR
HG01679 HG01679 EUR
HG01680 HG01680 EUR
HG01682 HG01682 EUR
HG01684 HG01684 EUR
HG01685 HG01685 EUR
HG01686 HG01686 EUR
HG01694 HG01694 EUR
HG01695 HG01695 EUR
HG01697 HG01697 EUR
HG01699 HG01699 EUR
HG01700 HG01700 EUR
HG01702 HG01702 EUR
HG01704 HG01704 EUR
HG01705 HG01705 EUR
HG01707 HG01707 EUR
HG01708 HG01708 EUR
HG01709 HG01709 EUR
HG01710 HG01710 EUR
HG01746 HG01746 EUR
HG01747 HG01747 EUR
HG01756 HG01756 EUR
HG01757 HG01757 EUR
HG01761 HG01761 EUR
HG01762 HG01762 EUR
HG01765 HG01765 EUR
HG01766 HG01766 EUR
HG01767 HG01767 EUR
HG01768 HG01768 EUR
HG01770 HG01770 EUR
HG01771 HG01771 EUR
HG01773 HG01773 EUR
HG01775 HG01775 EUR
HG01776 HG01776 EUR
HG01777 HG01777 EUR
HG01779 HG01779 EUR
HG01781 HG01781 EUR
HG01783 HG01783 EUR
HG01784 HG01784 EUR
HG01785 HG01785 EUR
HG01786 HG01786 EUR
HG01789 HG01789 EUR
HG01790 HG01790 EUR
HG01791 HG01791 EUR
HG01794 HG01794 EAS
HG01795 HG01795 EAS
HG01796 HG01796 EAS
HG01797 HG01797 EAS
HG01798 HG01798 EAS
HG01799 HG01799 EAS
HG01800 HG01800 EAS
HG01801 HG01801 EAS
HG01802 HG01802 EAS
HG01804 HG01804 EAS
HG01805 HG01805 EAS
HG01806 HG01806 EAS
HG01807 HG01807 EAS
HG01808 HG01808 EAS
HG01809 HG01809 EAS
HG01810 HG01810 EAS
HG01811 HG01811 EAS
HG01812 HG01812 EAS
HG01813 HG01813 EAS
HG01815 HG01815 EAS
HG01816 HG01816 EAS
HG01817 HG01817 EAS
HG01840 HG01840 EAS
HG01841 HG01841 EAS
HG01842 HG01842 EAS
HG01843 HG01843 EAS
HG01844 HG01844 EAS
HG01845 HG01845 EAS
HG01846 HG01846 EAS
HG01847 HG01847 EAS
HG01848 HG01848 EAS
HG01849 HG01849 EAS
HG01850 HG01850 EAS
HG01851 HG01851 EAS
HG01852 HG01852 EAS
HG01853 HG01853 EAS
HG01855 HG01855 EAS
HG01857 HG01857 EAS
HG01858 HG01858 EAS
HG01859 HG01859 EAS
HG01860 HG01860 EAS
HG01861 HG01861 EAS
HG01862 HG01862 EAS
