trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,23,212,AMR,-0.0178355322241711,-4.53926187042041e-15
Asthma,22,23,212,MID,-0.0112774209116969,-1.42301539356479e-15
Asthma,22,25,134,MELD_lambda0_afproj,-0.0106390222722144,-5.89410885524612e-16
Asthma,22,25,134,MELD_lambda0_reportN,-0.0112896901990829,-1.06813703013955e-15
Asthma,22,25,134,MELD_lambda0_equal,-0.000403504942368882,-3.12621367494797e-16
Asthma,22,25,134,MELD_lambda1_afproj,-0.0100702948729243,-8.6113741675629e-16
Asthma,22,25,134,EUR,-0.0205654325169986,-1.70348243010754e-15
Asthma,22,25,134,EAS,-0.0189771513474341,-8.50274956948694e-16
Asthma,22,25,134,AFR,-0.00221634414458142,-3.22478066231251e-16
Asthma,22,25,134,CSA,-0.0128339709715142,-1.42401263931552e-15
Asthma,22,25,134,AMR,-0.0166519585030159,-9.96513658141654e-16
Asthma,22,25,134,MID,-0.0114753132888148,-4.90815066964854e-16
Asthma,22,26,205,MELD_lambda0_afproj,-0.0139473363688,-1.69962412922017e-15
Asthma,22,26,205,MELD_lambda0_reportN,-0.0147729359062806,-1.64376899919738e-15
Asthma,22,26,205,MELD_lambda0_equal,-0.00167430020880596,-8.80647397989301e-16
Asthma,22,26,205,MELD_lambda1_afproj,-0.0135647809147104,-1.54105275929708e-15
Asthma,22,26,205,EUR,-0.0305421356283493,-2.4418085437591e-15
Asthma,22,26,205,EAS,-0.0255887277470697,-1.57908437941173e-15
Asthma,22,26,205,AFR,-0.0136911340896128,-1.35144982203173e-15
Asthma,22,26,205,CSA,-0.0240132545823589,-2.12757789673118e-15
Asthma,22,26,205,AMR,-0.0244477452025675,-1.94830683878041e-15
Asthma,22,26,205,MID,-0.0186851213503085,-1.3768712979817e-15
Asthma,22,27,384,MELD_lambda0_afproj,-0.0188430600905353,-1.39730894000945e-15
Asthma,22,27,384,MELD_lambda0_reportN,-0.0199532345240662,-2.39567346301403e-15
Asthma,22,27,384,MELD_lambda0_equal,-0.00218896523770121,-2.53694910193962e-15
Asthma,22,27,384,MELD_lambda1_afproj,-0.0176930931821303,-1.56364463695247e-15
Asthma,22,27,384,EUR,-0.0464849034555799,-2.1147188971038e-15
Asthma,22,27,384,EAS,-0.0290928272758584,-1.51069380702073e-15
Asthma,22,27,384,AFR,-0.0121341524124596,-8.88913690766292e-16
Asthma,22,27,384,CSA,-0.0243978631460633,-1.44390812868529e-15
Asthma,22,27,384,AMR,-0.0342012741497093,-1.89494904988693e-15
Asthma,22,27,384,MID,-0.0237799777755586,-1.30446587794017e-15
Asthma,22,28,237,MELD_lambda0_afproj,-0.00363643416762419,-8.42514854449174e-16
Asthma,22,28,237,MELD_lambda0_reportN,-0.00410401289122148,-1.02143828097857e-15
Asthma,22,28,237,MELD_lambda0_equal,0.00251605030231236,0.00251605030231101
Asthma,22,28,237,MELD_lambda1_afproj,-0.00325415546594722,-5.82616789781008e-16
Asthma,22,28,237,EUR,-0.0192252995180685,-2.15249588470209e-15
Asthma,22,28,237,EAS,-0.0106727663624452,-6.57985901993277e-16
Asthma,22,28,237,AFR,0.00110130251864077,0.00110130251863978
Asthma,22,28,237,CSA,-0.00890819527850058,-5.35229455866474e-16
Asthma,22,28,237,AMR,-0.0151816790800616,-1.28400192167931e-15
Asthma,22,28,237,MID,-0.00823776212828257,2.47205872577388e-16
Asthma,22,29,307,MELD_lambda0_afproj,-0.0313741482206686,-2.88938781648874e-15
Asthma,22,29,307,MELD_lambda0_reportN,-0.0326437949957693,-3.09842754548148e-15
Asthma,22,29,307,MELD_lambda0_equal,-0.00532512244465401,-1.90567187120463e-15
Asthma,22,29,307,MELD_lambda1_afproj,-0.0299968298391268,-3.28494030331456e-15
Asthma,22,29,307,EUR,-0.0579508655242477,-4.73450147878601e-15
Asthma,22,29,307,EAS,-0.0450535955603246,-3.57993210764229e-15
Asthma,22,29,307,AFR,-0.0250894887194363,-2.00121720738498e-15
Asthma,22,29,307,CSA,-0.0467489433555936,-3.81103880424454e-15
Asthma,22,29,307,AMR,-0.0553258122399575,-4.38363325100991e-15
Asthma,22,29,307,MID,-0.0458078796328812,-2.76036524747968e-15
Asthma,22,31,360,MELD_lambda0_afproj,-0.0441282541520629,-3.14184423693154e-15
Asthma,22,31,360,MELD_lambda0_reportN,-0.045816554450606,-4.14147248065413e-15
Asthma,22,31,360,MELD_lambda0_equal,-0.00935925603578496,-1.82861254547511e-15
Asthma,22,31,360,MELD_lambda1_afproj,-0.0417332658185261,-3.13386451381784e-15
Asthma,22,31,360,EUR,-0.0743309030190244,-4.18023884036496e-15
Asthma,22,31,360,EAS,-0.0594676303223204,-3.81279721499777e-15
Asthma,22,31,360,AFR,-0.0411622762784503,-2.25531213186161e-15
Asthma,22,31,360,CSA,-0.0565834377127885,-3.01676879463717e-15
Asthma,22,31,360,AMR,-0.0677850711360956,-3.73562172088839e-15
Asthma,22,31,360,MID,-0.0554107566908175,-3.03167109044461e-15
Asthma,22,32,116,MELD_lambda0_afproj,-0.00860675699271286,-4.57270919187983e-16
Asthma,22,32,116,MELD_lambda0_reportN,-0.00928311801507135,-9.74276113021721e-16
Asthma,22,32,116,MELD_lambda0_equal,0.00117344882880682,0.00117344882880607
Asthma,22,32,116,MELD_lambda1_afproj,-0.00791444627285723,-1.19175525082639e-15
Asthma,22,32,116,EUR,-0.0203726122604777,-1.2536153041222e-15
Asthma,22,32,116,EAS,-0.0155010044660269,-6.46758463823741e-16
Asthma,22,32,116,AFR,-0.00663732053257201,-2.62184216912213e-16
Asthma,22,32,116,CSA,-0.00627592390206261,-7.63429144203588e-16
Asthma,22,32,116,AMR,-0.0144866096205088,-1.04204655861485e-15
Asthma,22,32,116,MID,-0.00836224460499347,-9.83636467424506e-16
Asthma,22,34,338,MELD_lambda0_afproj,-0.0377288985956744,-2.96364896489066e-15
Asthma,22,34,338,MELD_lambda0_reportN,-0.0393271292362174,-3.27358133299503e-15
Asthma,22,34,338,MELD_lambda0_equal,-0.00730180351996634,-1.40278756543266e-15
Asthma,22,34,338,MELD_lambda1_afproj,-0.0341547287303551,-2.97960973940744e-15
Asthma,22,34,338,EUR,-0.0678708688102902,-4.55613653512743e-15
Asthma,22,34,338,EAS,-0.0487717389317367,-3.2663189677546e-15
Asthma,22,34,338,AFR,-0.0428919580917523,-2.52211323349636e-15
Asthma,22,34,338,CSA,-0.0459291415454213,-2.63143009781476e-15
Asthma,22,34,338,AMR,-0.0590100365886349,-4.06100027952571e-15
Asthma,22,34,338,MID,-0.0416209601407309,-3.24964253972947e-15
Asthma,22,37,719,MELD_lambda0_afproj,-0.0513466948639325,-2.37442293007778e-15
Asthma,22,37,719,MELD_lambda0_reportN,-0.0537465286119297,-2.72750026583499e-15
Asthma,22,37,719,MELD_lambda0_equal,-0.0102802626771648,-1.4842653857287e-15
Asthma,22,37,719,MELD_lambda1_afproj,-0.047235644114364,-2.45768569173265e-15
Asthma,22,37,719,EUR,-0.0943286847488807,-3.50207864497441e-15
Asthma,22,37,719,EAS,-0.0595503346232032,-2.7857281175851e-15
Asthma,22,37,719,AFR,-0.0374249542440957,-5.75347922622471e-15
Asthma,22,37,719,CSA,-0.0680710815065398,-3.04288865212584e-15
Asthma,22,37,719,AMR,-0.0801186727477415,-3.70284355457147e-15
Asthma,22,37,719,MID,-0.0608946621077079,-2.46216932175325e-15
Asthma,22,38,47,MELD_lambda0_afproj,-0.000881824156079271,-2.99137626256737e-16
Asthma,22,38,47,MELD_lambda0_reportN,-0.000925570702050656,5.42534767111746e-16
Asthma,22,38,47,MELD_lambda0_equal,-0.000117954272462614,2.16840394588713e-18
Asthma,22,38,47,MELD_lambda1_afproj,-0.000831296940732829,-1.37692405356238e-16
Asthma,22,38,47,EUR,-0.00350757501647093,-1.37906538397063e-16
Asthma,22,38,47,EAS,-0.00410991859620258,4.54713977544081e-16
Asthma,22,38,47,AFR,-0.00187585163113204,-5.07231585725051e-16
Asthma,22,38,47,CSA,-0.000340895510334616,-4.11972327556675e-16
Asthma,22,38,47,AMR,9.81809483200412e-17,-3.00279012512122e-16
Asthma,22,38,47,MID,-0.000419274246168763,-2.35614919772993e-16
Asthma,22,39,168,MELD_lambda0_afproj,-0.0244151197928104,-1.94547878672336e-15
Asthma,22,39,168,MELD_lambda0_reportN,-0.0258302197268563,-2.06755517068825e-15
Asthma,22,39,168,MELD_lambda0_equal,-0.00191953897666926,-1.41060349054981e-15
Asthma,22,39,168,MELD_lambda1_afproj,-0.0217887606479655,-1.94564845990815e-15
Asthma,22,39,168,EUR,-0.0399706766785672,-2.65448703474048e-15
Asthma,22,39,168,EAS,-0.0355480696489695,-2.34356015314326e-15
Asthma,22,39,168,AFR,-0.0147757687181666,-1.6557881031881e-15
Asthma,22,39,168,CSA,-0.033892483773431,-2.17602793853351e-15
Asthma,22,39,168,AMR,-0.0346011527704332,-3.00876630820602e-15
Asthma,22,39,168,MID,-0.0174333784620361,-1.53405499976746e-15
Asthma,22,40,37,MELD_lambda0_afproj,-0.00121033532066823,-5.77432696032043e-16
Asthma,22,40,37,MELD_lambda0_reportN,-0.00136697403959685,-2.65148644881976e-16
Asthma,22,40,37,MELD_lambda0_equal,0.00112647164025834,0.00112647164025754
Asthma,22,40,37,MELD_lambda1_afproj,-0.00100377618495332,-2.87200866995168e-16
Asthma,22,40,37,EUR,-0.0168700249661221,-1.81670396445815e-15
Asthma,22,40,37,EAS,-0.00105634833243139,-1.14182218429252e-16
Asthma,22,40,37,AFR,3.27031633371669e-16,4.14137819941146e-16
Asthma,22,40,37,CSA,-0.00932589976227227,-5.91549562022015e-16
Asthma,22,40,37,AMR,-0.00342913760732986,-1.39006686482267e-15
Asthma,22,40,37,MID,-1.01984485792123e-16,3.13116276281652e-16
Asthma,22,41,261,MELD_lambda0_afproj,-0.0307595174399952,-2.11390666885491e-15
Asthma,22,41,261,MELD_lambda0_reportN,-0.0322670116361599,-2.15631109823631e-15
Asthma,22,41,261,MELD_lambda0_equal,-0.00568357929161437,-1.00652044669907e-15
Asthma,22,41,261,MELD_lambda1_afproj,-0.0286906781844541,-2.49045012674507e-15
Asthma,22,41,261,EUR,-0.0580038396462301,-3.94668015348335e-15
Asthma,22,41,261,EAS,-0.0381225868481334,-2.23936010551904e-15
Asthma,22,41,261,AFR,-0.0219989755814221,-1.1338176562827e-15
Asthma,22,41,261,CSA,-0.0392401718453971,-2.26556528669502e-15
Asthma,22,41,261,AMR,-0.0474869097962004,-2.59496728892758e-15
Asthma,22,41,261,MID,-0.0288918701213929,-1.99742299044923e-15
Asthma,22,42,255,MELD_lambda0_afproj,-0.0201294139722781,-2.29917671187174e-15
Asthma,22,42,255,MELD_lambda0_reportN,-0.0213977897385548,-2.61011105485116e-15
