trait,delta,candidate,mean,sd,lo95,hi95
HF,0.1,CSA,0.850115192921677,0.012873169352343,0.823482421433139,0.873697872189899
HF,0.1,AMR,0.829477722000865,0.0131522976854138,0.804544237620753,0.855074051294214
IPF,0.001,MELD_lambda0_afproj,0.854461676764273,0.0176628946464813,0.816416055964746,0.886294473157616
IPF,0.001,MELD_lambda0_reportN,0.853656968415533,0.0176064779879621,0.815301699311601,0.884394249012164
IPF,0.001,MELD_lambda0_equal,0.857130941823973,0.0138282114600619,0.827173915779009,0.881587141854948
IPF,0.001,MELD_lambda1_afproj,0.852707908192677,0.0183810422885497,0.812573984055695,0.885187350797715
IPF,0.001,EUR,0.808652161425662,0.0192297239643277,0.766183516523824,0.841157932880465
IPF,0.001,EAS,0.67576604436956,0.0214441531825999,0.634260708184792,0.717638446834895
IPF,0.001,AFR,0.594952869379538,0.0273727697390099,0.543818133784682,0.65012302498662
IPF,0.001,CSA,0.771289408208118,0.0195968816059071,0.730672350479576,0.809094027486899
IPF,0.001,AMR,0.732299277543661,0.0249934916996184,0.684316703966058,0.782262476855603
IPF,0.01,MELD_lambda0_afproj,0.881767894256664,0.0119371450090155,0.856058945412574,0.902666398071067
IPF,0.01,MELD_lambda0_reportN,0.881741146546266,0.0115322363806149,0.857086673867156,0.901799569575895
IPF,0.01,MELD_lambda0_equal,0.869827520580034,0.0123043419261588,0.844841924452004,0.891929195343475
IPF,0.01,MELD_lambda1_afproj,0.880855995650171,0.0123124428519778,0.855101758589625,0.903070703468661
IPF,0.01,EUR,0.856292455942772,0.0134479099336655,0.828161677392462,0.881134609960607
IPF,0.01,EAS,0.776682198210991,0.0165271008698837,0.742620506591889,0.807091036092256
IPF,0.01,AFR,0.654347638024515,0.0239611520170224,0.60624090057005,0.699369849077385
IPF,0.01,CSA,0.825430681729147,0.0156086138855937,0.792010113286365,0.853973017178311
IPF,0.01,AMR,0.816653635247075,0.0159818219855439,0.783480211046236,0.846723250709116
IPF,0.1,MELD_lambda0_afproj,0.875768306249555,0.0112948890218217,0.85261176167771,0.895747302083258
IPF,0.1,MELD_lambda0_reportN,0.875875579093538,0.0108388011048848,0.855321529224759,0.896495404911235
IPF,0.1,MELD_lambda0_equal,0.865433456683743,0.0119401125834674,0.840890306353238,0.887056073666229
IPF,0.1,MELD_lambda1_afproj,0.874055712972384,0.0112461151838634,0.850320352191331,0.895152130592594
IPF,0.1,EUR,0.858367257434255,0.0115625262707458,0.834664176629016,0.88006921930108
IPF,0.1,EAS,0.795452965497565,0.0165797273665198,0.762711845518609,0.824764593441049
IPF,0.1,AFR,0.682501307733526,0.0233088919404385,0.633326218025246,0.725155316437211
IPF,0.1,CSA,0.832462871210952,0.0142945628633287,0.802973724594753,0.859198645328974
IPF,0.1,AMR,0.82732296913465,0.0141097403110096,0.797580510222766,0.853914055482609
Stroke,0.001,MELD_lambda0_afproj,0.885290567830523,0.0128520266394011,0.856799805303386,0.907626194470841
Stroke,0.001,MELD_lambda0_reportN,0.885560179535074,0.0129520009234763,0.858042439785828,0.908137755857698
Stroke,0.001,MELD_lambda0_equal,0.88333529948266,0.0116242595730264,0.859562990023085,0.904474999882835
Stroke,0.001,MELD_lambda1_afproj,0.887238961537443,0.0128204206921325,0.860149306506998,0.909037053199975
Stroke,0.001,EUR,0.806197103733475,0.0177905123006093,0.76922256316448,0.838629994576736
Stroke,0.001,EAS,0.780136232321627,0.0169432245517116,0.747799639725021,0.814037029436108
Stroke,0.001,AFR,0.613692383749858,0.0253983318285332,0.564343678650967,0.662971292041424
Stroke,0.001,CSA,0.807744227446512,0.0152313392672593,0.778250157542534,0.837733796853015
Stroke,0.001,AMR,0.781317803733781,0.0174374656273716,0.746400315417246,0.816856999812407
Stroke,0.01,MELD_lambda0_afproj,0.89934531888779,0.00967546525691422,0.879084405562916,0.916963812997525
Stroke,0.01,MELD_lambda0_reportN,0.899939626873722,0.00950103719080512,0.881124447434003,0.917775982529722
Stroke,0.01,MELD_lambda0_equal,0.891226359741781,0.0099090485373844,0.870341632374506,0.90948762082833
Stroke,0.01,MELD_lambda1_afproj,0.900414194463879,0.00929206173418057,0.881331999377,0.917713516208401
Stroke,0.01,EUR,0.855539816117663,0.0130105043058865,0.829056441132355,0.878860341519044
Stroke,0.01,EAS,0.832232703088912,0.0147161395001907,0.802859002768644,0.859115778129297
Stroke,0.01,AFR,0.675865891642741,0.0220514585355183,0.631615397687937,0.719302004955491
Stroke,0.01,CSA,0.844849219347575,0.0134982581792461,0.817417265208543,0.871238340327683
Stroke,0.01,AMR,0.827366920934189,0.0146879443259812,0.798441485594483,0.856657336998407
Stroke,0.1,MELD_lambda0_afproj,0.890438132405838,0.00957196697429791,0.870722799388056,0.907729077471835
Stroke,0.1,MELD_lambda0_reportN,0.891096850584606,0.00955951456612396,0.872114709650612,0.909712736248333
Stroke,0.1,MELD_lambda0_equal,0.884404020430996,0.01010727931559,0.864550514865018,0.903516997131967
Stroke,0.1,MELD_lambda1_afproj,0.890132001960583,0.00952427360110271,0.871565860889865,0.908294471429606
Stroke,0.1,EUR,0.8591165830608,0.0116743756051587,0.834139102884251,0.880825167077036
Stroke,0.1,EAS,0.83475050071265,0.0142412259085151,0.806298110792925,0.861709299872914
Stroke,0.1,AFR,0.705610873346887,0.0210199574858946,0.663776007120098,0.745163923229004
Stroke,0.1,CSA,0.845804474721088,0.012945560793456,0.819083605245361,0.869732675266833
Stroke,0.1,AMR,0.840158448142783,0.0126809429880868,0.815483115118146,0.864291193842126
VTE,0.001,MELD_lambda0_afproj,0.867843545675621,0.0105370316143428,0.846224828557517,0.888033786716145
VTE,0.001,MELD_lambda0_reportN,0.868200342991482,0.0102097465337051,0.847568061867219,0.886934053232621
VTE,0.001,MELD_lambda0_equal,0.859979130371752,0.0116443223103048,0.835506644436232,0.882265279868165
VTE,0.001,MELD_lambda1_afproj,0.868936467292814,0.0102634606674605,0.848405498729299,0.887832526108364
VTE,0.001,EUR,0.827628168993086,0.0133350315950911,0.800747199931218,0.852616119168993
VTE,0.001,EAS,0.643542013773929,0.0261946030232893,0.589706125875171,0.691497263835355
VTE,0.001,AFR,0.602633345707372,0.0246406953066981,0.555542026731418,0.65054583364864
VTE,0.001,CSA,0.759911993208269,0.016253556592559,0.730075807625254,0.792501616622314
VTE,0.001,AMR,0.742609058084273,0.0215100066226293,0.700555284089126,0.783754638014614
VTE,0.01,MELD_lambda0_afproj,0.886901421803205,0.00896154140546324,0.868865906606758,0.903231909332353
VTE,0.01,MELD_lambda0_reportN,0.887303999915454,0.00877624844815173,0.868909678271035,0.902838812850963
VTE,0.01,MELD_lambda0_equal,0.868658499882563,0.0109512108731799,0.846322960835063,0.888725246789732
VTE,0.01,MELD_lambda1_afproj,0.887302294080749,0.00850438155678872,0.869480228497346,0.902914985509566
VTE,0.01,EUR,0.872469513883637,0.0095906420469979,0.853420868931026,0.890465558527651
VTE,0.01,EAS,0.745842752844009,0.0176798012847451,0.710414482680064,0.779920178807562
VTE,0.01,AFR,0.671570276614894,0.0232032541262614,0.625106028056275,0.716121487794247
VTE,0.01,CSA,0.827056649212294,0.0125497963227993,0.802143221415827,0.851415977299221
VTE,0.01,AMR,0.811372904522038,0.0156362806149556,0.7801567601845,0.840966710070896
VTE,0.1,MELD_lambda0_afproj,0.882797758111747,0.00931096117202217,0.863644227221682,0.899893137835516
VTE,0.1,MELD_lambda0_reportN,0.88344900266857,0.00932746246228245,0.864430173336398,0.900984231845807
VTE,0.1,MELD_lambda0_equal,0.864476207679653,0.010886384225678,0.84114029223475,0.884310807333517
VTE,0.1,MELD_lambda1_afproj,0.882785791024465,0.0094059210454502,0.862516797123284,0.899714423339352
VTE,0.1,EUR,0.877860271414166,0.00960213875960502,0.858472865783424,0.895336341457154
VTE,0.1,EAS,0.758212469383955,0.0158178832901928,0.724753334961324,0.786944737903332
VTE,0.1,AFR,0.698277120211829,0.0214668995932848,0.653898054721882,0.738418576941472
VTE,0.1,CSA,0.834980098787266,0.0128794085360988,0.807977021039459,0.858952372861585
VTE,0.1,AMR,0.827021036484925,0.0143701953429975,0.79571683712846,0.852910317757293
