chr,block_id,m,w_eur,candidate,min_eig_pre,min_eig_post,r2_pre,r2_post
22,12,1159,0.25,EUR,-0.125934740782806,-4.86413316888627e-15,0.368819704704363,0.494093605007078
22,12,1159,0.25,AFR,-0.158802080402799,-8.82237088374529e-15,0.483586412083978,0.604798509729043
22,13,618,0.75,MELD_lambda0,-0.035431439643589,-2.21453649721341e-15,0.90566293285607,0.912714783554241
22,13,618,0.75,MELD_lambda1,-0.0334748464016555,-1.95240757055254e-15,0.88706160927631,0.901199682173522
22,13,618,0.75,EUR,-0.11445564735275,-4.84238655425462e-15,0.58618533378625,0.74491822099463
22,13,618,0.75,AFR,-0.0418406740891541,-1.77603929005336e-15,0.816563409034465,0.83485757247839
22,13,618,0.5,MELD_lambda0,-0.0313743160197264,-1.41552103615211e-15,0.852893463163305,0.863207073640685
22,13,618,0.5,MELD_lambda1,-0.0293769247628513,-1.66550880373402e-15,0.827660180107321,0.851239535309015
22,13,618,0.5,EUR,-0.11445564735275,-4.84238655425462e-15,0.328730043406866,0.565567862474945
22,13,618,0.5,AFR,-0.0418406740891541,-1.77603929005336e-15,0.83968781747186,0.855391679470921
22,13,618,0.5,MELD_pooled,-0.0364320482518872,-2.16007692963653e-15,0.831251468690347,0.84813051530864
22,13,618,0.25,MELD_lambda0,-0.0328756584005545,-1.93498128003584e-15,0.662317215875878,0.843266196465363
22,13,618,0.25,MELD_lambda1,-0.0313608884868635,-1.86472682109937e-15,0.377817701163956,0.839875874293777
22,13,618,0.25,EUR,-0.11445564735275,-4.84238655425462e-15,0.236369844630437,0.500555868610808
22,13,618,0.25,AFR,-0.0418406740891541,-1.77603929005336e-15,0.854063696026462,0.866836994460211
22,14,1069,0.75,MELD_lambda0,-0.286107607218116,-4.04248815421983e-15,0.929507130910724,0.933386700286139
22,14,1069,0.75,MELD_lambda1,-0.209548376838708,-4.20526610671981e-15,0.923450111981458,0.931958771781262
22,14,1069,0.75,EUR,-0.455159896517504,-5.56467764053238e-15,0.279876712475805,0.852024199685422
22,14,1069,0.75,AFR,-1.27734102624133,-5.39929835211519e-15,1.85871967161954e-09,0.79203379212389
22,14,1069,0.5,MELD_lambda0,-0.254655411066433,-5.01255365408432e-15,0.240483363014231,0.8280323833045
22,14,1069,0.5,MELD_lambda1,-0.194872825711802,-4.92370998289486e-15,0.809993415625594,0.841113244114844
22,14,1069,0.5,EUR,-0.455159896517504,-5.56467764053238e-15,0.0991915564223052,0.613243077102938
22,14,1069,0.5,AFR,-1.27734102624133,-5.39929835211519e-15,0.00284625733886814,0.732569486659687
22,14,1069,0.5,MELD_pooled,-0.443406751746908,-4.9005139873568e-15,0.847854866037051,0.801228532655872
22,14,1069,0.25,MELD_lambda0,-0.510029190115179,-3.21465763912237e-15,0.723956531776348,0.7080997600316
22,14,1069,0.25,MELD_lambda1,-0.38995795035803,-3.89684135444349e-15,0.728154679172573,0.721897259811176
22,14,1069,0.25,EUR,-0.455159896517504,-5.56467764053238e-15,0.0362906032346336,0.443205157313945
22,14,1069,0.25,AFR,-1.27734102624133,-5.39929835211519e-15,0.00714070013899135,0.661459077901696
22,15,709,0.75,MELD_lambda0,-0.223817255139178,-2.83335203059872e-15,0.929715603123345,0.964672647005846
22,15,709,0.75,MELD_lambda1,-0.191663894327023,-2.70151116517583e-15,0.941496958036001,0.961635113304692
22,15,709,0.75,EUR,-0.251928711678293,-4.06829105673041e-15,0.889897514911016,0.898199455524413
22,15,709,0.75,AFR,-0.320160427802518,-2.4178200809927e-15,0.667523124674169,0.806397203512073
22,15,709,0.5,MELD_lambda0,-0.234245350654851,-2.56664921433242e-15,0.85191278577056,0.891525572036418
22,15,709,0.5,MELD_lambda1,-0.191452239144094,-2.60831898874656e-15,0.807441031500123,0.883089115409828
22,15,709,0.5,EUR,-0.251928711678293,-4.06829105673041e-15,0.66612264230647,0.687132129560979
22,15,709,0.5,AFR,-0.320160427802518,-2.4178200809927e-15,0.630572141043095,0.745339156833409
22,15,709,0.5,MELD_pooled,-0.26259095248772,-2.88667489373819e-15,0.852217694295919,0.864679214414202
22,15,709,0.25,MELD_lambda0,-0.262127511308696,-2.73547967295689e-15,0.584618175427305,0.7933327115125
22,15,709,0.25,MELD_lambda1,-0.223612021024446,-1.82183258684159e-15,0.72680526139759,0.79009183837632
22,15,709,0.25,EUR,-0.251928711678293,-4.06829105673041e-15,0.444039721453918,0.465134461095316
22,15,709,0.25,AFR,-0.320160427802518,-2.4178200809927e-15,0.57987074586089,0.667673855461912
22,16,417,0.75,MELD_lambda0,-0.00136058540509725,-8.20094579831069e-16,0.977317672303649,0.977296920205262
