trait,sweep_kind,sweep_id,pop,w
Gout,EUR_AFR,EUR_AFR_06,EUR,0.5
Gout,EUR_AFR,EUR_AFR_06,EAS,0
Gout,EUR_AFR,EUR_AFR_06,AFR,0.5
Gout,EUR_AFR,EUR_AFR_06,AMR,0
Gout,EUR_AFR,EUR_AFR_07,EUR,0.6
Gout,EUR_AFR,EUR_AFR_07,EAS,0
Gout,EUR_AFR,EUR_AFR_07,AFR,0.4
Gout,EUR_AFR,EUR_AFR_07,AMR,0
Gout,EUR_AFR,EUR_AFR_08,EUR,0.7
Gout,EUR_AFR,EUR_AFR_08,EAS,0
Gout,EUR_AFR,EUR_AFR_08,AFR,0.3
Gout,EUR_AFR,EUR_AFR_08,AMR,0
Gout,EUR_AFR,EUR_AFR_09,EUR,0.8
Gout,EUR_AFR,EUR_AFR_09,EAS,0
Gout,EUR_AFR,EUR_AFR_09,AFR,0.2
Gout,EUR_AFR,EUR_AFR_09,AMR,0
Gout,EUR_AFR,EUR_AFR_10,EUR,0.9
Gout,EUR_AFR,EUR_AFR_10,EAS,0
Gout,EUR_AFR,EUR_AFR_10,AFR,0.1
Gout,EUR_AFR,EUR_AFR_10,AMR,0
Gout,EUR_AFR,EUR_AFR_11,EUR,1
Gout,EUR_AFR,EUR_AFR_11,EAS,0
Gout,EUR_AFR,EUR_AFR_11,AFR,0
Gout,EUR_AFR,EUR_AFR_11,AMR,0
Gout,multi,equal,EUR,0.25
Gout,multi,equal,EAS,0.25
Gout,multi,equal,AFR,0.25
Gout,multi,equal,AMR,0.25
Gout,multi,reported,EUR,0.723077779886305
Gout,multi,reported,EAS,0.240206351432744
Gout,multi,reported,AFR,0.0242118464369106
Gout,multi,reported,AMR,0.0125040222440409
Gout,multi,w50rest,EUR,0.5
Gout,multi,w50rest,EAS,0.166666666666667
Gout,multi,w50rest,AFR,0.166666666666667
Gout,multi,w50rest,AMR,0.166666666666667
Gout,multi,w25rest,EUR,0.25
Gout,multi,w25rest,EAS,0.25
Gout,multi,w25rest,AFR,0.25
Gout,multi,w25rest,AMR,0.25
HF,EUR_EAS,EUR_EAS_01,EUR,0
HF,EUR_EAS,EUR_EAS_01,EAS,1
HF,EUR_EAS,EUR_EAS_01,AFR,0
HF,EUR_EAS,EUR_EAS_01,AMR,0
HF,EUR_EAS,EUR_EAS_02,EUR,0.1
