gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n
EAS,AMR,yengo_eas_ldamr,dbslmm,yengo_eas_ldamr_DBSLMM_1,0.251411230132478,0.0347672889154915,1.14985226611939e-12,777
EAS,AMR,yengo_eas_ldamr,dbslmm,yengo_eas_ldamr_DBSLMM_1.2,0.248962340538219,0.0347900199444302,1.92627216213895e-12,777
EAS,AMR,yengo_eas_ldamr,quickprs,yengo_eas_ldamr_quickprs,0.165467391631679,0.0354258979863258,3.53619741438318e-06,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_5e-08,0.20321292975553,0.0351715520158014,1.09627067900433e-08,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_1e-06,0.203715148011822,0.0351678030621765,1.00699268976604e-08,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_1e-04,0.197494751693558,0.0352135571959382,2.84022297534729e-08,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.01,0.236136640141338,0.0349052078041189,2.62617324173737e-11,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.1,0.22072384802273,0.0350351157097034,4.98498034103479e-10,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.2,0.227852770107838,0.0349761783477248,1.31162866136925e-10,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.3,0.239969033575462,0.0348714665302101,1.22210219637425e-11,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.4,0.232667725531765,0.0349352530980804,5.18882990369616e-11,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_0.5,0.23243695429222,0.0349372351931447,5.42722114597919e-11,777
EAS,AFR,yengo_eas_ldafr,ptclump,yengo_eas_ldafr_0_1,0.23481917143907,0.0349166742074507,3.40564421300779e-11,777
EAS,AFR,yengo_eas_ldafr,dbslmm,yengo_eas_ldafr_DBSLMM_0.8,0.263562057342558,0.0346509794476728,8.18483685267799e-14,777
EAS,AFR,yengo_eas_ldafr,dbslmm,yengo_eas_ldafr_DBSLMM_1,0.265321103159059,0.0346336534493493,5.51929025019304e-14,777
EAS,AFR,yengo_eas_ldafr,dbslmm,yengo_eas_ldafr_DBSLMM_1.2,0.265887824597694,0.0346280450340231,4.85824584742484e-14,777
EAS,AFR,yengo_eas_ldafr,quickprs,yengo_eas_ldafr_quickprs,0.236536475705725,0.0349017144538815,2.42623306214442e-11,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_5e-08,0.190551665055251,0.0352628848644133,8.6921590715504e-08,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_1e-06,0.180549385800942,0.0353307308304733,4.05508659456723e-07,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_1e-04,0.218558961128781,0.0350526236744828,7.41131287162369e-10,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.01,0.147110346892121,0.0355302423811182,3.84712501792162e-05,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.1,0.161464256542437,0.0354497243969304,6.0901138873086e-06,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.2,0.149854554061548,0.0355154416689147,2.73916466740857e-05,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.3,0.147147679011151,0.0355300429089494,3.82954233900538e-05,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.4,0.135566387638569,0.0355894466877314,0.000150464098728588,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_0.5,0.143710291180406,0.0355481926805023,5.81188718634327e-05,777
CSA,EUR,yengo_csa_ldeur,ptclump,yengo_csa_ldeur_0_1,0.13724227118441,0.0355811577356139,0.000124240701577794,777
CSA,EUR,yengo_csa_ldeur,dbslmm,yengo_csa_ldeur_DBSLMM_0.8,0.23464879328969,0.0349181521110244,3.52165722268622e-11,777
CSA,EUR,yengo_csa_ldeur,dbslmm,yengo_csa_ldeur_DBSLMM_1,0.237483579917997,0.0348934146531115,2.01010920563525e-11,777
CSA,EUR,yengo_csa_ldeur,dbslmm,yengo_csa_ldeur_DBSLMM_1.2,0.238329218757588,0.034885974323481,1.69810032402196e-11,777
CSA,EUR,yengo_csa_ldeur,quickprs,yengo_csa_ldeur_quickprs,0.169834135041584,0.035399223001764,1.92553810127752e-06,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_5e-08,0.165368855794335,0.0354264916645134,3.58439219864724e-06,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_1e-06,0.178067158946649,0.0353469821115342,5.86660021585283e-07,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_1e-04,0.207874741239547,0.0351363811446399,4.94145772034863e-09,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.01,0.180272458663275,0.0353325554100354,4.22671925364977e-07,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.1,0.184611501820449,0.0353036339790021,2.19147308820529e-07,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.2,0.162569729901829,0.0354432045976994,5.24798436921303e-06,777
CSA,EAS,yengo_csa_ldeas,ptclump,yengo_csa_ldeas_0_0.3,0.160140841600234,0.0354574694956406,7.26836001100751e-06,777
