trait,delta,candidate,mean,sd,lo95,hi95,source
IPF,0.01,MELD_lambda0_reportN,0.877904028028134,0.0103389618985117,0.856877043049466,0.896513125105712,R9_UKB
IPF,0.01,MELD_lambda0_equal,0.876451686763217,0.00992687272187296,0.855324685283043,0.894683421471645,R9_UKB
IPF,0.01,MELD_lambda1_afproj,0.875364804317373,0.0101583128065509,0.854589822580553,0.894017972298029,R9_UKB
IPF,0.01,EUR,0.851736062668263,0.0110618438449646,0.829948936077727,0.873552561335176,R9_UKB
IPF,0.01,EAS,0.787005796066636,0.0152711489253258,0.757870338322843,0.816401710104548,R9_UKB
IPF,0.01,AFR,0.720263489323327,0.0167626871449281,0.687383295074077,0.753047239052524,R9_UKB
IPF,0.01,CSA,0.838188937997156,0.0127882646476382,0.812322226954121,0.862684783339648,R9_UKB
IPF,0.01,AMR,0.841844697417294,0.013164877976924,0.816401419617986,0.86724455327306,R9_UKB
IPF,0.01,MID,0.838606573456164,0.0121815835018476,0.814266795222275,0.861747457627137,R9_UKB
Stroke,0.01,MELD_lambda0_afproj,0.887591285709337,0.00929603094946227,0.8687230468898,0.905320524170272,R9_UKB
Stroke,0.01,MELD_lambda0_reportN,0.888050307425712,0.00927986573674515,0.869448139293169,0.904597710234145,R9_UKB
Stroke,0.01,MELD_lambda0_equal,0.887245862702982,0.00965819438936169,0.867760609709,0.905174232074864,R9_UKB
Stroke,0.01,MELD_lambda1_afproj,0.8884051575199,0.00931577537829246,0.870611499852962,0.906031510087131,R9_UKB
Stroke,0.01,EUR,0.835471763341381,0.0136617755554774,0.808927613086545,0.861672216883967,R9_UKB
Stroke,0.01,EAS,0.842493716715743,0.0118555891242659,0.81901335369022,0.865588099048395,R9_UKB
Stroke,0.01,AFR,0.733986062849176,0.0170516663768513,0.698510472325575,0.76610493787348,R9_UKB
Stroke,0.01,CSA,0.850848474421961,0.0106676838859477,0.830095095652719,0.871730102477672,R9_UKB
Stroke,0.01,AMR,0.831134420576236,0.0141642023213267,0.803255700329422,0.857466391175611,R9_UKB
Stroke,0.01,MID,0.837987566477034,0.0121336124054748,0.81524473311906,0.861688599145147,R9_UKB
VTE,0.01,MELD_lambda0_afproj,0.87679525178554,0.0101138101499348,0.856015592635469,0.895933821852767,R9_UKB
VTE,0.01,MELD_lambda0_reportN,0.87780561951422,0.0100568200607293,0.856576711288729,0.895745482190222,R9_UKB
VTE,0.01,MELD_lambda0_equal,0.871694016067496,0.0116187765612462,0.845988373219679,0.891792368689341,R9_UKB
