w_eur,chr,block_id,m,candidate,err
0.5,22,21,571,MELD_lambda1,1.1828176764643
0.5,22,21,571,MELD_pooled,1.18339570670334
0.5,22,21,571,EUR,0.507805222410438
0.5,22,21,571,EAS,0.857267097920789
0.5,22,21,571,AFR,0.534447015407387
0.5,22,21,571,CSA,0.647583730302758
0.5,22,21,571,AMR,0.962109131350771
0.25,22,21,571,MELD_lambda0,0
0.25,22,21,571,MELD_lambda1,1.0257279201721
0.25,22,21,571,MELD_pooled,1.04740882930766
0.25,22,21,571,EUR,0.765329009570525
0.25,22,21,571,EAS,0.991406654053047
0.25,22,21,571,AFR,0.346382163688027
0.25,22,21,571,CSA,0.807499028413499
0.25,22,21,571,AMR,1.10881332308321
0.75,22,22,875,MELD_lambda0,0
0.75,22,22,875,MELD_lambda1,0.758290261672053
0.75,22,22,875,MELD_pooled,0.765146189445668
0.75,22,22,875,EUR,0.256263514088543
0.75,22,22,875,EAS,0.805816508612154
0.75,22,22,875,AFR,0.72493969069566
0.75,22,22,875,CSA,0.709323222956322
0.75,22,22,875,AMR,1.08412366833071
0.5,22,22,875,MELD_lambda0,0
0.5,22,22,875,MELD_lambda1,1.03397900769742
0.5,22,22,875,MELD_pooled,1.03537758235489
0.5,22,22,875,EUR,0.512496245679062
0.5,22,22,875,EAS,0.881182842633246
0.5,22,22,875,AFR,0.578831338696343
0.5,22,22,875,CSA,0.801838403789852
0.5,22,22,875,AMR,1.21310751658627
0.25,22,22,875,MELD_lambda0,0
0.25,22,22,875,MELD_lambda1,0.935031937711165
0.25,22,22,875,MELD_pooled,0.951118704791503
0.25,22,22,875,EUR,0.795580186203305
0.25,22,22,875,EAS,0.994441017360008
0.25,22,22,875,AFR,0.372697117572525
0.25,22,22,875,CSA,0.943149242194934
0.25,22,22,875,AMR,1.35958921876134
0.75,22,23,712,MELD_lambda0,0
0.75,22,23,712,MELD_lambda1,0.651678666370584
0.75,22,23,712,MELD_pooled,0.662980568465102
0.75,22,23,712,EUR,0.241676975147272
0.75,22,23,712,EAS,0.826604742461826
0.75,22,23,712,AFR,0.809025127567267
0.75,22,23,712,CSA,0.675088463690572
0.75,22,23,712,AMR,1.0938583894675
0.5,22,23,712,MELD_lambda0,0
0.5,22,23,712,MELD_lambda1,0.950373373990644
0.5,22,23,712,MELD_pooled,0.952350776563159
0.5,22,23,712,EUR,0.50802541706876
0.5,22,23,712,EAS,0.884160934522359
0.5,22,23,712,AFR,0.680741906198805
0.5,22,23,712,CSA,0.766898139782925
0.5,22,23,712,AMR,1.2302640479962
0.25,22,23,712,MELD_lambda0,0
0.25,22,23,712,MELD_lambda1,0.917342416570301
0.25,22,23,712,MELD_pooled,0.947779819903735
0.25,22,23,712,EUR,0.822221945502805
0.25,22,23,712,EAS,0.983473158768963
0.25,22,23,712,AFR,0.481632027050339
0.25,22,23,712,CSA,0.925186739881342
0.25,22,23,712,AMR,1.39403600333156
0.75,22,24,552,MELD_lambda0,0
0.75,22,24,552,MELD_lambda1,0.77915148014167
0.75,22,24,552,MELD_pooled,0.778688364773733
0.75,22,24,552,EUR,0.242397621810043
0.75,22,24,552,EAS,0.678788088406743
0.75,22,24,552,AFR,0.66413612823681
0.75,22,24,552,CSA,0.538438739879613
0.75,22,24,552,AMR,0.879173613114025
0.5,22,24,552,MELD_lambda0,0
0.5,22,24,552,MELD_lambda1,1.02042291570361
0.5,22,24,552,MELD_pooled,1.0196770108086
0.5,22,24,552,EUR,0.469753701665714
0.5,22,24,552,EAS,0.739995322192448
0.5,22,24,552,AFR,0.533100761637431
0.5,22,24,552,CSA,0.618994124165207
0.5,22,24,552,AMR,0.980466554248529
0.25,22,24,552,MELD_lambda0,0
0.25,22,24,552,MELD_lambda1,0.914901230088464
0.25,22,24,552,MELD_pooled,0.941404673974523
0.25,22,24,552,EUR,0.716258425599861
0.25,22,24,552,EAS,0.839916052276495
0.25,22,24,552,AFR,0.357408965134921
0.25,22,24,552,CSA,0.752140597496766
0.25,22,24,552,AMR,1.10483706297295
