chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,8,corrected,0.5,3,288,0.145662982310427,0.568836388573177,0.521802145628812,0.518280132167535,-0.00352201346127612
22,8,corrected,0.25,1,288,0.000392433117677893,0.0653096437177893,0.574928874144089,0.575156034844753,0.000227160700663864
22,8,corrected,0.25,2,287,0.0653096437177893,0.145662982310427,0.625587285563803,0.632263806355727,0.00667652079192393
22,8,corrected,0.25,3,288,0.145662982310427,0.568836388573177,0.504625074929411,0.504158796772587,-0.00046627815682454
22,9,original,0.75,1,245,0.000532217170834064,0.0696898496240602,0.885451196115293,0.883161481925959,-0.00228971418933355
22,9,original,0.75,2,244,0.0696898496240602,0.185064040916244,0.855718125090692,0.853374448163109,-0.00234367692758364
22,9,original,0.75,3,244,0.185064040916244,0.607605132016087,0.936536986392706,0.935909621679042,-0.000627364713663647
22,9,original,0.5,1,245,0.000532217170834064,0.0696898496240602,0.829255477057023,0.829643560973787,0.000388083916764037
22,9,original,0.5,2,244,0.0696898496240602,0.185064040916244,0.764031826783435,0.761606448835379,-0.00242537794805586
22,9,original,0.5,3,244,0.185064040916244,0.607605132016087,0.858144520722233,0.86673830977846,0.00859378905622787
22,9,original,0.25,1,245,0.000532217170834064,0.0696898496240602,0.7600665630954,0.763975250192114,0.00390868709671355
22,9,original,0.25,2,244,0.0696898496240602,0.185064040916244,0.714387461579622,0.713342225321384,-0.00104523625823805
22,9,original,0.25,3,244,0.185064040916244,0.607605132016087,0.799335404816549,0.814090442102007,0.0147550372854587
22,9,corrected,0.75,1,245,0.00044653020632978,0.0584697838345865,0.88457139774447,0.882608237287987,-0.00196316045648337
22,9,corrected,0.75,2,244,0.0584697838345865,0.155268730328729,0.858684464590721,0.856565816465044,-0.00211864812567697
22,9,corrected,0.75,3,244,0.155268730328729,0.509780705761497,0.937802204702856,0.937900891761789,9.86870589332334e-05
22,9,corrected,0.5,1,245,0.00044653020632978,0.0584697838345865,0.827214192474909,0.827361377695421,0.00014718522051238
22,9,corrected,0.5,2,244,0.0584697838345865,0.155268730328729,0.769154433731026,0.766166301093244,-0.00298813263778197
