trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
COPD,EUR_AFR,EUR_AFR_07,EUR,0.0835779671299953,0.0629265956658658,0.104064012397923,1.92307692307692,0.0367825840531842
COPD,EUR_AFR,EUR_AFR_08,EUR,0.0702244645165101,0.056351413891846,0.0864545562823009,1.72413793103448,0.0321847610465362
COPD,EUR_AFR,EUR_AFR_09,EUR,0.0477163835612191,0.0351329790190054,0.0614650158858387,1.47058823529412,0.0245217227021228
COPD,EUR_AFR,EUR_AFR_10,EUR,0.0261679008660024,0.0162780667995576,0.0365642237855187,1.21951219512195,0.0137934690199441
COPD,EUR_AFR,EUR_AFR_11,EUR,-2.06630644540372e-15,-4.05712194603135e-15,2.10176342402061e-16,1,0
COPD,EUR_EAS,EUR_EAS_01,EAS,1.00128060960826e-15,-3.68603983367834e-16,2.33540555501309e-15,1,0
COPD,EUR_EAS,EUR_EAS_02,EAS,0.03047511175295,0.0226291679546994,0.0392508343858531,1.21951219512195,0.0127652387355144
COPD,EUR_EAS,EUR_EAS_03,EAS,0.0531768319000506,0.0401865148328148,0.0671792780933728,1.47058823529412,0.0226937577520256
COPD,EUR_EAS,EUR_EAS_04,EAS,0.0650860813344576,0.0473646563728361,0.082595999470337,1.72413793103448,0.0297855570495336
COPD,EUR_EAS,EUR_EAS_05,EUR,0.0676670933107244,0.0503149543761569,0.0842301722453962,1.92307692307692,0.0340406366280384
COPD,EUR_EAS,EUR_EAS_06,EUR,0.06263879892582,0.0441766030249529,0.0784857343194504,2,0.03545899648754
COPD,EUR_EAS,EUR_EAS_07,EUR,0.0520551175047199,0.0382436307138882,0.0645641051375957,1.92307692307692,0.0340406366280384
COPD,EUR_EAS,EUR_EAS_08,EUR,0.0349746546045297,0.0236700072340402,0.0450972747814642,1.72413793103448,0.0297855570495336
COPD,EUR_EAS,EUR_EAS_09,EUR,0.0326643920010283,0.0200324817459311,0.0472574463594209,1.47058823529412,0.0226937577520256
