chr,block_id,m,weight_set,candidate,r2
22,23,712,afproj,AFR,0.368137904913994
22,23,712,afproj,CSA,0.737237997820741
22,23,712,afproj,AMR,0.749168957125442
22,24,552,paperN,MELD_lambda0,0.980790720438837
22,24,552,paperN,MELD_lambda1,0.97971420669324
22,24,552,paperN,EUR,0.972057908962868
22,24,552,paperN,EAS,0.864066811081272
22,24,552,paperN,AFR,0.740550915906138
22,24,552,paperN,CSA,0.938684696124565
22,24,552,paperN,AMR,0.949336196631447
22,24,552,afproj,MELD_lambda0,0.980544134067975
22,24,552,afproj,MELD_lambda1,0.979308840511968
22,24,552,afproj,EUR,0.972057908962868
22,24,552,afproj,EAS,0.864066811081272
22,24,552,afproj,AFR,0.740550915906138
22,24,552,afproj,CSA,0.938684696124565
22,24,552,afproj,AMR,0.949336196631447
