chr,block_id,m,afr_treatment,w_eur,perm,r2
22,9,733,original,0.25,2,0.81036481908054
22,9,733,original,0.25,3,0.807067446204211
22,9,733,original,0.25,4,0.809901664904516
22,9,733,original,0.25,5,0.809128740046574
22,9,733,original,0.25,6,0.807678220118456
22,9,733,original,0.25,7,0.818897535317166
22,9,733,original,0.25,8,0.812621827481918
22,9,733,original,0.25,0,0.804344938090662
22,9,733,original,0.25,-1,0.82019059425555
22,9,733,corrected,0.75,1,0.924630500961266
22,9,733,corrected,0.75,2,0.934262094128878
22,9,733,corrected,0.75,3,0.94851633920519
22,9,733,corrected,0.75,4,0.931380123989532
22,9,733,corrected,0.75,5,0.941533536523444
22,9,733,corrected,0.75,6,0.942638675935523
22,9,733,corrected,0.75,7,0.943428108842017
22,9,733,corrected,0.75,8,0.935723386079687
22,9,733,corrected,0.75,0,0.946484437560419
22,9,733,corrected,0.75,-1,0.945092976409273
22,9,733,corrected,0.5,1,0.868993089765121
22,9,733,corrected,0.5,2,0.879992592113526
22,9,733,corrected,0.5,3,0.899750412248907
22,9,733,corrected,0.5,4,0.877002667871029
22,9,733,corrected,0.5,5,0.889744347580389
22,9,733,corrected,0.5,6,0.892854719149178
22,9,733,corrected,0.5,7,0.888052655769539
22,9,733,corrected,0.5,8,0.886398009847352
22,9,733,corrected,0.5,0,0.895939289528686
22,9,733,corrected,0.5,-1,0.899027397235017
22,9,733,corrected,0.25,1,0.8157565372176
22,9,733,corrected,0.25,2,0.829237562835626
22,9,733,corrected,0.25,3,0.844855934011015
22,9,733,corrected,0.25,4,0.825549786458384
22,9,733,corrected,0.25,5,0.834822952114353
22,9,733,corrected,0.25,6,0.841448213052249
22,9,733,corrected,0.25,7,0.833727946846787
22,9,733,corrected,0.25,8,0.835493253023302
22,9,733,corrected,0.25,0,0.835752920674026
22,9,733,corrected,0.25,-1,0.844429573227045
22,10,689,original,0.75,1,0.974352746514172
22,10,689,original,0.75,2,0.968763937819402
22,10,689,original,0.75,3,0.972156424602495
22,10,689,original,0.75,4,0.969610235756148
22,10,689,original,0.75,5,0.972280169544585
22,10,689,original,0.75,6,0.971445648442941
22,10,689,original,0.75,7,0.974525489779993
22,10,689,original,0.75,8,0.973350136199173
22,10,689,original,0.75,0,0.976630533493446
22,10,689,original,0.75,-1,0.978145786119812
22,10,689,original,0.5,1,0.954776551049782
22,10,689,original,0.5,2,0.947958811484056
22,10,689,original,0.5,3,0.952073852319107
22,10,689,original,0.5,4,0.943526796616278
22,10,689,original,0.5,5,0.950967819807799
22,10,689,original,0.5,6,0.949438041402834
22,10,689,original,0.5,7,0.953129876598324
22,10,689,original,0.5,8,0.953115716440489
22,10,689,original,0.5,0,0.957057538171438
22,10,689,original,0.5,-1,0.95970355226839
22,10,689,original,0.25,1,0.928267276861664
22,10,689,original,0.25,2,0.924182048439625
22,10,689,original,0.25,3,0.926575095514414
22,10,689,original,0.25,4,0.917465241703284
22,10,689,original,0.25,5,0.926164208036719
22,10,689,original,0.25,6,0.925197495322634
22,10,689,original,0.25,7,0.926851487087701
22,10,689,original,0.25,8,0.927342454038586
22,10,689,original,0.25,0,0.926236033780076
22,10,689,original,0.25,-1,0.931089087074876
22,10,689,corrected,0.75,1,0.974952036700134
22,10,689,corrected,0.75,2,0.974402317415307
22,10,689,corrected,0.75,3,0.974101610733262
22,10,689,corrected,0.75,4,0.97658145462969
22,10,689,corrected,0.75,5,0.97303039730325
22,10,689,corrected,0.75,6,0.972251286468393
22,10,689,corrected,0.75,7,0.972517161408065
22,10,689,corrected,0.75,8,0.976988603227237
22,10,689,corrected,0.75,0,0.977307428794528
22,10,689,corrected,0.75,-1,0.978883821489658
22,10,689,corrected,0.5,1,0.957065991683969
22,10,689,corrected,0.5,2,0.957803545361871
22,10,689,corrected,0.5,3,0.955581751367143
22,10,689,corrected,0.5,4,0.956123302944281
22,10,689,corrected,0.5,5,0.953586902099148
22,10,689,corrected,0.5,6,0.951211317538114
22,10,689,corrected,0.5,7,0.9558441487561
22,10,689,corrected,0.5,8,0.957621115160318
22,10,689,corrected,0.5,0,0.959541684635942
22,10,689,corrected,0.5,-1,0.961857683637131
22,10,689,corrected,0.25,1,0.933830593536498
22,10,689,corrected,0.25,2,0.93722231835927
22,10,689,corrected,0.25,3,0.933806505781146
22,10,689,corrected,0.25,4,0.931755550505353
22,10,689,corrected,0.25,5,0.932592313106823
22,10,689,corrected,0.25,6,0.92719409762486
22,10,689,corrected,0.25,7,0.935639286981976
22,10,689,corrected,0.25,8,0.933536523104248
22,10,689,corrected,0.25,0,0.933965255280248
22,10,689,corrected,0.25,-1,0.936890798433803
22,11,437,original,0.75,1,0.923479118246667
22,11,437,original,0.75,2,0.914105345911866
22,11,437,original,0.75,3,0.918494166478976
22,11,437,original,0.75,4,0.910758924322214
22,11,437,original,0.75,5,0.92833550150965
22,11,437,original,0.75,6,0.911343990995833
22,11,437,original,0.75,7,0.930546770249298
22,11,437,original,0.75,8,0.940309600157788
22,11,437,original,0.75,0,0.949906888261761
22,11,437,original,0.75,-1,0.947418823297802
22,11,437,original,0.5,1,0.903063558272101
22,11,437,original,0.5,2,0.879660320223984
22,11,437,original,0.5,3,0.885998522719589
22,11,437,original,0.5,4,0.874650248938325
22,11,437,original,0.5,5,0.908005357313739
22,11,437,original,0.5,6,0.880782622469679
22,11,437,original,0.5,7,0.904317711949553
22,11,437,original,0.5,8,0.916373762705166
22,11,437,original,0.5,0,0.922073842115822
22,11,437,original,0.5,-1,0.921570432975978
22,11,437,original,0.25,1,0.903914972609459
22,11,437,original,0.25,2,0.878951300369389
22,11,437,original,0.25,3,0.886845659731311
22,11,437,original,0.25,4,0.8745794068683
22,11,437,original,0.25,5,0.899924084450219
22,11,437,original,0.25,6,0.886259269626607
22,11,437,original,0.25,7,0.896767322128289
22,11,437,original,0.25,8,0.906011858729133
22,11,437,original,0.25,0,0.896866302743173
22,11,437,original,0.25,-1,0.898352099654463
22,11,437,corrected,0.75,1,0.906969931441605
22,11,437,corrected,0.75,2,0.941934947637691
22,11,437,corrected,0.75,3,0.920405993887304
22,11,437,corrected,0.75,4,0.917663342949622
22,11,437,corrected,0.75,5,0.942289353407858
22,11,437,corrected,0.75,6,0.935426489664364
22,11,437,corrected,0.75,7,0.934886582657463
22,11,437,corrected,0.75,8,0.939095392546429
22,11,437,corrected,0.75,0,0.95086030740971
22,11,437,corrected,0.75,-1,0.949150287012777
22,11,437,corrected,0.5,1,0.88402782959153
22,11,437,corrected,0.5,2,0.92234062043716
22,11,437,corrected,0.5,3,0.892773262518471
22,11,437,corrected,0.5,4,0.890569911355879
22,11,437,corrected,0.5,5,0.914511183731889
22,11,437,corrected,0.5,6,0.904407548619977
22,11,437,corrected,0.5,7,0.910606591827522
22,11,437,corrected,0.5,8,0.912552968457067
22,11,437,corrected,0.5,0,0.92515634510731
22,11,437,corrected,0.5,-1,0.924903231081616
22,11,437,corrected,0.25,1,0.893763234449368
22,11,437,corrected,0.25,2,0.910909656825681
22,11,437,corrected,0.25,3,0.893884513730559
22,11,437,corrected,0.25,4,0.895241063637143
22,11,437,corrected,0.25,5,0.907067585736079
22,11,437,corrected,0.25,6,0.899044232822069
22,11,437,corrected,0.25,7,0.908970600342365
22,11,437,corrected,0.25,8,0.905753019207839
22,11,437,corrected,0.25,0,0.906597926552969
22,11,437,corrected,0.25,-1,0.907389342391553
22,12,1159,original,0.75,1,0.900359992634935
22,12,1159,original,0.75,2,0.909512333638544
22,12,1159,original,0.75,3,0.899772266014904
22,12,1159,original,0.75,4,0.888611609028506
22,12,1159,original,0.75,5,0.91526185201355
22,12,1159,original,0.75,6,0.904787717241953
22,12,1159,original,0.75,7,0.898566713643229
22,12,1159,original,0.75,8,0.899989944177302
22,12,1159,original,0.75,0,0.917882315513027
22,12,1159,original,0.75,-1,0.907324504730615
22,12,1159,original,0.5,1,0.78574409541435
22,12,1159,original,0.5,2,0.797829623378837
22,12,1159,original,0.5,3,0.781402519264189
22,12,1159,original,0.5,4,0.775692193985553
22,12,1159,original,0.5,5,0.814688888708342
22,12,1159,original,0.5,6,0.793832562411368
22,12,1159,original,0.5,7,0.786208799041169
22,12,1159,original,0.5,8,0.783900934190712
22,12,1159,original,0.5,0,0.802250944381487
22,12,1159,original,0.5,-1,0.802411625521712
22,12,1159,original,0.25,1,0.714844641679568
22,12,1159,original,0.25,2,0.729140632320344
22,12,1159,original,0.25,3,0.709818264542224
22,12,1159,original,0.25,4,0.707594942673343
22,12,1159,original,0.25,5,0.738035697598088
22,12,1159,original,0.25,6,0.726918758097861
22,12,1159,original,0.25,7,0.716358698586951
22,12,1159,original,0.25,8,0.718660225848812
22,12,1159,original,0.25,0,0.716963012055735
22,12,1159,original,0.25,-1,0.729592440180309
22,12,1159,corrected,0.75,1,0.915798406241164
22,12,1159,corrected,0.75,2,0.913910507793235
22,12,1159,corrected,0.75,3,0.904597164072372
22,12,1159,corrected,0.75,4,0.903434824979136
22,12,1159,corrected,0.75,5,0.906097788831959
22,12,1159,corrected,0.75,6,0.90371462654987
22,12,1159,corrected,0.75,7,0.911903550782104
22,12,1159,corrected,0.75,8,0.908408054495282
22,12,1159,corrected,0.75,0,0.919180319218457
22,12,1159,corrected,0.75,-1,0.912688350642594
22,12,1159,corrected,0.5,1,0.808219300562942
22,12,1159,corrected,0.5,2,0.800710944666097
22,12,1159,corrected,0.5,3,0.798447496223391
22,12,1159,corrected,0.5,4,0.787946257182823
22,12,1159,corrected,0.5,5,0.795111161141121
22,12,1159,corrected,0.5,6,0.799931916271957
22,12,1159,corrected,0.5,7,0.802567756325296
22,12,1159,corrected,0.5,8,0.800822579960476
22,12,1159,corrected,0.5,0,0.8106574166062
22,12,1159,corrected,0.5,-1,0.811883647317554
22,12,1159,corrected,0.25,1,0.735908232618284
22,12,1159,corrected,0.25,2,0.729398304152162
22,12,1159,corrected,0.25,3,0.734530026077979
22,12,1159,corrected,0.25,4,0.722047285801461
22,12,1159,corrected,0.25,5,0.729371401135308
22,12,1159,corrected,0.25,6,0.738196131225989
22,12,1159,corrected,0.25,7,0.732324407941991
22,12,1159,corrected,0.25,8,0.734527009502392
