chr,block_id,m,afr_treatment,w_eur,r2_l0,r2_l1,placebo_r2
22,11,437,corrected,0.25,0.906597926552969,0.907389342391553,0.901829238343888
22,11,437,corrected,0.5,0.92515634510731,0.924903231081616,0.903973739567437
22,11,437,corrected,0.75,0.95086030740971,0.949150287012777,0.929834004274042
22,11,437,original,0.25,0.896866302743173,0.898352099654463,0.891656734314088
22,11,437,original,0.5,0.922073842115822,0.921570432975978,0.894106513074017
22,11,437,original,0.75,0.949906888261761,0.947418823297802,0.922171677234036
22,12,1159,corrected,0.25,0.734907081055802,0.744067385357964,0.732037849806946
22,12,1159,corrected,0.5,0.8106574166062,0.811883647317554,0.799219676541763
22,12,1159,corrected,0.75,0.919180319218457,0.912688350642594,0.90848311546814
22,12,1159,original,0.25,0.716963012055735,0.729592440180309,0.720171482668399
22,12,1159,original,0.5,0.802250944381487,0.802411625521712,0.789912452049315
22,12,1159,original,0.75,0.917882315513027,0.907324504730615,0.902107803549115
22,13,618,corrected,0.25,0.915881237597014,0.917806582693209,0.917458622625116
22,13,618,corrected,0.5,0.924351344894541,0.922253273953612,0.922121521901033
22,13,618,corrected,0.75,0.943450700990436,0.939946239203158,0.940568683565801
22,13,618,original,0.25,0.909904020192064,0.913540047110619,0.91314066077967
22,13,618,original,0.5,0.92321843585672,0.919829597463571,0.918750178452098
22,13,618,original,0.75,0.944298578661792,0.938758194356206,0.938512828684304
22,14,1069,corrected,0.25,0.671203998266008,0.701473564605697,0.683709388999737
22,14,1069,corrected,0.5,0.791068731118618,0.809558606905904,0.787964889611743
22,14,1069,corrected,0.75,0.915237713334645,0.916283503036524,0.904092676325411
22,14,1069,original,0.25,0.655386924082951,0.690120483254982,0.676378102026713
22,14,1069,original,0.5,0.778255429356922,0.799599630866464,0.775207052803072
22,14,1069,original,0.75,0.912340592933148,0.91264350494964,0.897542360795348
22,15,709,corrected,0.25,0.850073006707873,0.852288403898759,0.854669709494925
22,15,709,corrected,0.5,0.903519606000671,0.901456711650233,0.904379454277347
22,15,709,corrected,0.75,0.952741508026182,0.951769130672697,0.953087902036833
22,15,709,original,0.25,0.84284020178058,0.84758209825796,0.843760861582229
22,15,709,original,0.5,0.901483930166253,0.897427766685109,0.896865782946459
22,15,709,original,0.75,0.951985952354586,0.949546004283925,0.949476775778718
22,16,417,corrected,0.25,0.859814945945495,0.870070754712096,0.857573712358701
22,16,417,corrected,0.5,0.911790727961625,0.918828914818508,0.906494793283634
22,16,417,corrected,0.75,0.967924070545032,0.970682103642291,0.965284237702578
22,16,417,original,0.25,0.848622374483786,0.858595419078114,0.844499170637732
22,16,417,original,0.5,0.908935620863365,0.915173317871152,0.897618795292521
22,16,417,original,0.75,0.967738389970799,0.970089285818482,0.961396073981184
