chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,7,0.5,3,316,0.213115620607936,0.749075450253541,0.01,0.7221327194711,0.724709905021448,0.00257718555034792
22,7,0.5,3,316,0.213115620607936,0.749075450253541,0.1,0.715882559094898,0.719244918223943,0.00336235912904492
22,7,0.25,1,316,0.000109284840006996,0.0892598502069126,0.001,0.764392952697368,0.73253920388329,-0.0318537488140775
22,7,0.25,1,316,0.000109284840006996,0.0892598502069126,0.01,0.772038883712033,0.744770210280681,-0.0272686734313521
22,7,0.25,1,316,0.000109284840006996,0.0892598502069126,0.1,0.799947356733653,0.78556618468591,-0.0143811720477429
22,7,0.25,2,316,0.0892598502069126,0.213115620607936,0.001,0.474566216225259,0.457906021245509,-0.01666019497975
22,7,0.25,2,316,0.0892598502069126,0.213115620607936,0.01,0.477412949353331,0.461493437809794,-0.0159195115435365
22,7,0.25,2,316,0.0892598502069126,0.213115620607936,0.1,0.462689812738417,0.446364851525055,-0.0163249612133618
22,7,0.25,3,316,0.213115620607936,0.749075450253541,0.001,0.727381699554169,0.745125762470219,0.0177440629160504
22,7,0.25,3,316,0.213115620607936,0.749075450253541,0.01,0.746444043569679,0.764009331335126,0.0175652877654469
22,7,0.25,3,316,0.213115620607936,0.749075450253541,0.1,0.739233157801204,0.750482969088868,0.0112498112876637
22,8,0.75,1,288,0.000467739115229904,0.0778422451940278,0.001,0.677200449570862,0.681804361270381,0.00460391169951868
22,8,0.75,1,288,0.000467739115229904,0.0778422451940278,0.01,0.685602287478676,0.690867850393797,0.00526556291512081
22,8,0.75,1,288,0.000467739115229904,0.0778422451940278,0.1,0.691439341570176,0.698752987243416,0.00731364567323978
22,8,0.75,2,287,0.0778422451940278,0.173614996794311,0.001,0.225652311147176,0.212274690800238,-0.0133776203469374
22,8,0.75,2,287,0.0778422451940278,0.173614996794311,0.01,0.245762802726738,0.229170462101522,-0.0165923406252163
22,8,0.75,2,287,0.0778422451940278,0.173614996794311,0.1,0.251346882289229,0.230158048443802,-0.0211888338454274
22,8,0.75,3,288,0.173614996794311,0.677993311767792,0.001,0.762921411818249,0.753816365698879,-0.00910504611937035
22,8,0.75,3,288,0.173614996794311,0.677993311767792,0.01,0.767648503496329,0.75794008638616,-0.00970841711016923
22,8,0.75,3,288,0.173614996794311,0.677993311767792,0.1,0.779540601700452,0.768297204765577,-0.0112433969348745
22,8,0.5,1,288,0.000467739115229904,0.0778422451940278,0.001,0.567173648208908,0.577105379267983,0.00993173105907508
22,8,0.5,1,288,0.000467739115229904,0.0778422451940278,0.01,0.574194769631268,0.584898544897186,0.0107037752659189
22,8,0.5,1,288,0.000467739115229904,0.0778422451940278,0.1,0.57791859792054,0.590216850829734,0.0122982529091933
22,8,0.5,2,287,0.0778422451940278,0.173614996794311,0.001,0.281532835824993,0.287266017576665,0.00573318175167209
22,8,0.5,2,287,0.0778422451940278,0.173614996794311,0.01,0.299951876087108,0.301719210028048,0.0017673339409397
22,8,0.5,2,287,0.0778422451940278,0.173614996794311,0.1,0.299826603140681,0.296447168487029,-0.00337943465365248
22,8,0.5,3,288,0.173614996794311,0.677993311767792,0.001,0.694087723657861,0.688807940434392,-0.00527978322346934
22,8,0.5,3,288,0.173614996794311,0.677993311767792,0.01,0.70330190962116,0.696698241136632,-0.00660366848452831
22,8,0.5,3,288,0.173614996794311,0.677993311767792,0.1,0.718151115920895,0.708329799442041,-0.00982131647885343
22,8,0.25,1,288,0.000467739115229904,0.0778422451940278,0.001,0.5604064228853,0.565676745355535,0.00527032247023573
22,8,0.25,1,288,0.000467739115229904,0.0778422451940278,0.01,0.563597865389838,0.568544189487389,0.00494632409755103
22,8,0.25,1,288,0.000467739115229904,0.0778422451940278,0.1,0.583373389514036,0.588013822036232,0.00464043252219626
22,8,0.25,2,287,0.0778422451940278,0.173614996794311,0.001,0.343386936289469,0.372533861247793,0.029146924958324
22,8,0.25,2,287,0.0778422451940278,0.173614996794311,0.01,0.3592869603453,0.383662893293801,0.0243759329485015
22,8,0.25,2,287,0.0778422451940278,0.173614996794311,0.1,0.343273391768595,0.357099124203872,0.0138257324352772
22,8,0.25,3,288,0.173614996794311,0.677993311767792,0.001,0.696425423460743,0.693708054930507,-0.00271736853023596
22,8,0.25,3,288,0.173614996794311,0.677993311767792,0.01,0.704689726088185,0.701553760024367,-0.00313596606381827
22,8,0.25,3,288,0.173614996794311,0.677993311767792,0.1,0.71165991316939,0.70812435333651,-0.00353555983288034
22,9,0.75,1,245,0.000532217170834064,0.0696898496240602,0.001,0.963584915239335,0.961750290816045,-0.00183462442329008
