chr,block_id,m,label,kind,r2
22,18,507,sweep_wEUR_0.00,sweep,0.913515585325339
22,18,507,sweep_wEUR_0.10,sweep,0.93693574263176
22,18,507,sweep_wEUR_0.20,sweep,0.948131923640408
22,18,507,sweep_wEUR_0.30,sweep,0.955587026136644
22,18,507,sweep_wEUR_0.40,sweep,0.960944180415702
22,18,507,sweep_wEUR_0.50,sweep,0.964673117716942
22,18,507,sweep_wEUR_0.60,sweep,0.967539814872876
22,18,507,sweep_wEUR_0.70,sweep,0.970410277805195
22,18,507,sweep_wEUR_0.80,sweep,0.971326009372932
22,18,507,sweep_wEUR_0.90,sweep,0.967977563532511
22,18,507,sweep_wEUR_1.00,sweep,0.946225699826546
22,19,829,EUR_baseline,single_pop,0.910627895250283
22,19,829,paperN,true_weights,0.942066491241858
22,19,829,afproj,true_weights,0.941408906516907
22,19,829,equal,wrong_weight,0.935346131130352
22,19,829,scramble_swap_EUR_AFR,wrong_weight,0.829357515362272
22,19,829,scramble_cyclic,wrong_weight,0.858168903951523
22,19,829,sweep_wEUR_0.00,sweep,0.880896195018451
22,19,829,sweep_wEUR_0.10,sweep,0.911765903547531
22,19,829,sweep_wEUR_0.20,sweep,0.924165966280487
22,19,829,sweep_wEUR_0.30,sweep,0.931546967052199
22,19,829,sweep_wEUR_0.40,sweep,0.936413455090181
22,19,829,sweep_wEUR_0.50,sweep,0.939649581475075
22,19,829,sweep_wEUR_0.60,sweep,0.94158147117384
22,19,829,sweep_wEUR_0.70,sweep,0.942189992945988
22,19,829,sweep_wEUR_0.80,sweep,0.940955615999968
22,19,829,sweep_wEUR_0.90,sweep,0.935687226249446
22,19,829,sweep_wEUR_1.00,sweep,0.910627895250284
22,20,769,EUR_baseline,single_pop,0.961104332231838
22,20,769,paperN,true_weights,0.977507104871443
22,20,769,afproj,true_weights,0.977152603005909
22,20,769,equal,wrong_weight,0.971140292980069
22,20,769,scramble_swap_EUR_AFR,wrong_weight,0.91072511900427
22,20,769,scramble_cyclic,wrong_weight,0.936012343415069
22,20,769,sweep_wEUR_0.00,sweep,0.941632396996935
22,20,769,sweep_wEUR_0.10,sweep,0.958550474369128
22,20,769,sweep_wEUR_0.20,sweep,0.966502834439626
22,20,769,sweep_wEUR_0.30,sweep,0.971260348852049
22,20,769,sweep_wEUR_0.40,sweep,0.974262387441394
22,20,769,sweep_wEUR_0.50,sweep,0.97612435016538
22,20,769,sweep_wEUR_0.60,sweep,0.977148144590308
22,20,769,sweep_wEUR_0.70,sweep,0.977454285379377
22,20,769,sweep_wEUR_0.80,sweep,0.976982609351377
22,20,769,sweep_wEUR_0.90,sweep,0.975097215448484
22,20,769,sweep_wEUR_1.00,sweep,0.961104332222438
22,21,572,EUR_baseline,single_pop,0.950021478409962
22,21,572,paperN,true_weights,0.970503778017977
22,21,572,afproj,true_weights,0.97004174040297
22,21,572,equal,wrong_weight,0.943182136283147
