trait,chr,block_id,candidate,delta,r2,m
Asthma,22,11,EUR,0.1,0.925858468759869,369
Asthma,22,11,EAS,0.1,0.874000839913562,369
Asthma,22,11,AFR,0.1,0.804617513168467,369
Asthma,22,11,CSA,0.1,0.929088453900054,369
Asthma,22,11,AMR,0.1,0.897686723389026,369
Asthma,22,12,MELD_lambda0_afproj,0.001,0.910548479439657,836
Asthma,22,12,MELD_lambda0_reportN,0.001,0.912648871537099,836
Asthma,22,12,MELD_lambda0_equal,0.001,0.888271518997003,836
Asthma,22,12,MELD_lambda1_afproj,0.001,0.912216353638446,836
Asthma,22,12,EUR,0.001,0.839965076085883,836
Asthma,22,12,EAS,0.001,0.675695136997687,836
Asthma,22,12,AFR,0.001,0.468487834887987,836
Asthma,22,12,CSA,0.001,0.721778900390417,836
Asthma,22,12,AMR,0.001,0.733986502609203,836
Asthma,22,12,MELD_lambda0_afproj,0.01,0.932942627254386,836
Asthma,22,12,MELD_lambda0_reportN,0.01,0.934158781650903,836
Asthma,22,12,MELD_lambda0_equal,0.01,0.91199942872594,836
Asthma,22,12,MELD_lambda1_afproj,0.01,0.934096267866416,836
Asthma,22,12,EUR,0.01,0.913062102096518,836
Asthma,22,12,EAS,0.01,0.795997781512531,836
Asthma,22,12,AFR,0.01,0.608047794697689,836
Asthma,22,12,CSA,0.01,0.835112212557718,836
Asthma,22,12,AMR,0.01,0.786923624522338,836
Asthma,22,12,MELD_lambda0_afproj,0.1,0.932266847775149,836
Asthma,22,12,MELD_lambda0_reportN,0.1,0.933152903246468,836
Asthma,22,12,MELD_lambda0_equal,0.1,0.913326986618324,836
Asthma,22,12,MELD_lambda1_afproj,0.1,0.932509026471272,836
Asthma,22,12,EUR,0.1,0.914039993818336,836
Asthma,22,12,EAS,0.1,0.817432178523137,836
Asthma,22,12,AFR,0.1,0.681867355449309,836
Asthma,22,12,CSA,0.1,0.8537783137446,836
Asthma,22,12,AMR,0.1,0.832080681836646,836
