trait,sweep_kind,sweep_id,eff_groups,mean_B_diag,n_pops_positive,top_pop_weight
Stroke,EUR_AFR,EUR_AFR_10,1.21951219512195,0.012599764130613,2,0.9
Stroke,EUR_AFR,EUR_AFR_11,1,0,1,1
Stroke,EUR_EAS,EUR_EAS_01,1,0,1,1
Stroke,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0130530190151814,2,0.9
Stroke,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0232053671381002,2,0.8
Stroke,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0304570443687565,2,0.7
Stroke,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0348080507071503,2,0.6
Stroke,EUR_EAS,EUR_EAS_06,2,0.0362583861532816,2,0.5
Stroke,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0348080507071503,2,0.6
Stroke,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0304570443687565,2,0.7
Stroke,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0232053671381002,2,0.8
Stroke,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0130530190151814,2,0.9
Stroke,EUR_EAS,EUR_EAS_11,1,0,1,1
Stroke,multi,equal,4,0.0456341487509252,4,0.25
Stroke,multi,reported,1.57749770477392,0.0256130356780597,4,0.770510166032471
Stroke,multi,w25rest,4,0.0456341487509252,4,0.25
Stroke,multi,w50rest,3,0.0374407960096805,4,0.5
VTE,EUR_AFR,EUR_AFR_01,1,0,1,1
VTE,EUR_AFR,EUR_AFR_02,1.21951219512195,0.0142617611174606,2,0.9
VTE,EUR_AFR,EUR_AFR_03,1.47058823529412,0.0253542419865965,2,0.8
VTE,EUR_AFR,EUR_AFR_04,1.72413793103448,0.033277442607408,2,0.7
VTE,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0380313629798948,2,0.6
VTE,EUR_AFR,EUR_AFR_06,2,0.0396160031040571,2,0.5
VTE,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0380313629798948,2,0.6
VTE,EUR_AFR,EUR_AFR_08,1.72413793103448,0.033277442607408,2,0.7
VTE,EUR_AFR,EUR_AFR_09,1.47058823529412,0.0253542419865965,2,0.8
VTE,EUR_AFR,EUR_AFR_10,1.21951219512195,0.0142617611174606,2,0.9
VTE,EUR_AFR,EUR_AFR_11,1,0,1,1
VTE,EUR_EAS,EUR_EAS_01,1,0,1,1
VTE,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0136378645663593,2,0.9
VTE,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0242450925624165,2,0.8
VTE,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0318216839881716,2,0.7
VTE,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0363676388436247,2,0.6
