trait,sweep_kind,sweep_id,delta,candidate,mean,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_06,0.1,EAS,0.593097241404731,0.0236766489073451,0.548290775078741,0.64036533016654
IPF,EUR_AFR,EUR_AFR_06,0.1,AFR,0.696024544242566,0.0246749155161762,0.649307785749705,0.745794863569465
IPF,EUR_AFR,EUR_AFR_06,0.1,AMR,0.644002238175023,0.0289930312679844,0.587315965488338,0.699528733024768
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true,0.787913814696642,0.0219413821606593,0.745063605528685,0.829335064939423
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_equal,0.782273629678347,0.0207433371195387,0.738449793197929,0.819844595802228
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda1_true,0.783674919556128,0.0209037224564749,0.743349962596451,0.826638644276449
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_scrambled,0.726050240637118,0.0244734327807444,0.67932689035024,0.773145037544097
IPF,EUR_AFR,EUR_AFR_07,0.001,EUR,0.514122639238085,0.0273549879336286,0.464000664981518,0.570150908352495
IPF,EUR_AFR,EUR_AFR_07,0.001,EAS,0.35759852544365,0.0271158755171619,0.305185922409609,0.41207668417934
IPF,EUR_AFR,EUR_AFR_07,0.001,AFR,0.577989032224678,0.031978929491538,0.516131746804122,0.639539158708347
IPF,EUR_AFR,EUR_AFR_07,0.001,AMR,0.52365055986896,0.0352419068741751,0.452413273910124,0.594337646944199
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_true,0.813295592820117,0.0186534876080925,0.775370177393261,0.848402527944797
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_equal,0.802654627479635,0.0182042648430741,0.766104864529394,0.838000054552804
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda1_true,0.810914603088492,0.0191052668420441,0.773794361107668,0.846505534774689
IPF,EUR_AFR,EUR_AFR_07,0.01,MELD_lambda0_scrambled,0.76758604841693,0.021849225417103,0.724499061253539,0.809796521781154
IPF,EUR_AFR,EUR_AFR_07,0.01,EUR,0.649116855704151,0.022275559328586,0.606467519074208,0.692825944496968
IPF,EUR_AFR,EUR_AFR_07,0.01,EAS,0.53901818673988,0.0248452320208393,0.490446932653229,0.588238858977922
IPF,EUR_AFR,EUR_AFR_07,0.01,AFR,0.681695637861673,0.0265254933672022,0.629895724413274,0.733539963757889
IPF,EUR_AFR,EUR_AFR_07,0.01,AMR,0.640201168327769,0.0298283240020049,0.585227447884043,0.699743233902855
