candidate,draw,delta,r2,w_eur,chr,block_id,m
AFR,1,0.01,0.0981221837234871,0.75,22,19,829
CSA,1,0.01,0.48465056183514,0.75,22,19,829
AMR,1,0.01,0.632447451925661,0.75,22,19,829
MELD_lambda1,1,0.01,0.782177671471365,0.5,22,19,829
MELD_pooled,1,0.01,0.294524439839311,0.5,22,19,829
EUR,1,0.01,0.095756253105241,0.5,22,19,829
EAS,1,0.01,0.00281938077578724,0.5,22,19,829
AFR,1,0.01,0.0564773635848109,0.5,22,19,829
CSA,1,0.01,0.39721945941656,0.5,22,19,829
AMR,1,0.01,0.648790742197561,0.5,22,19,829
MELD_lambda1,1,0.01,0.686484671247445,0.25,22,19,829
MELD_pooled,1,0.01,0.0130403428414467,0.25,22,19,829
EUR,1,0.01,0.142719117175662,0.25,22,19,829
EAS,1,0.01,0.00136203565742721,0.25,22,19,829
AFR,1,0.01,0.0594360271804484,0.25,22,19,829
CSA,1,0.01,0.388303881189211,0.25,22,19,829
AMR,1,0.01,0.661186132819758,0.25,22,19,829
MELD_lambda1,1,0.01,0.928337437994636,0.75,22,20,769
MELD_pooled,1,0.01,0.910113700076545,0.75,22,20,769
EUR,1,0.01,0.917988493811429,0.75,22,20,769
EAS,1,0.01,0.706216318619091,0.75,22,20,769
AFR,1,0.01,0.666230052582802,0.75,22,20,769
CSA,1,0.01,0.726424027688925,0.75,22,20,769
AMR,1,0.01,0.846853063439701,0.75,22,20,769
MELD_lambda1,1,0.01,0.856900662489679,0.5,22,20,769
MELD_pooled,1,0.01,0.857264145492343,0.5,22,20,769
EUR,1,0.01,0.784517040639869,0.5,22,20,769
EAS,1,0.01,0.613306371232644,0.5,22,20,769
AFR,1,0.01,0.606194175607259,0.5,22,20,769
CSA,1,0.01,0.54936787672837,0.5,22,20,769
AMR,1,0.01,0.642360159137529,0.5,22,20,769
MELD_lambda1,1,0.01,0.765101773586141,0.25,22,20,769
MELD_pooled,1,0.01,0.757407162779312,0.25,22,20,769
EUR,1,0.01,0.651334866233098,0.25,22,20,769
EAS,1,0.01,0.528228224317117,0.25,22,20,769
AFR,1,0.01,0.550759076724244,0.25,22,20,769
CSA,1,0.01,0.428743033782753,0.25,22,20,769
AMR,1,0.01,0.453922746270246,0.25,22,20,769
MELD_lambda1,1,0.01,0.921816320530714,0.75,22,21,571
MELD_pooled,1,0.01,0.892082162906297,0.75,22,21,571
EUR,1,0.01,0.808314808009992,0.75,22,21,571
EAS,1,0.01,0.592118756446828,0.75,22,21,571
AFR,1,0.01,0.599728179972061,0.75,22,21,571
CSA,1,0.01,0.780005005024782,0.75,22,21,571
AMR,1,0.01,0.689150249034971,0.75,22,21,571
MELD_lambda1,1,0.01,0.889451984579226,0.5,22,21,571
MELD_pooled,1,0.01,0.877738595673126,0.5,22,21,571
EUR,1,0.01,0.665843319073088,0.5,22,21,571
EAS,1,0.01,0.492557233551182,0.5,22,21,571
AFR,1,0.01,0.669882121042896,0.5,22,21,571
CSA,1,0.01,0.717148793176989,0.5,22,21,571
AMR,1,0.01,0.561327287770474,0.5,22,21,571
