chr,block_id,m,w_eur,lambda,delta,r2
22,7,948,0.25,0.25,0.001,0.462015447540263
22,7,948,0.25,0.25,0.01,0.616375997495539
22,7,948,0.25,0.25,0.1,0.657589916106548
22,7,948,0.25,0.5,0.001,0.472066974780609
22,7,948,0.25,0.5,0.01,0.623202095570968
22,7,948,0.25,0.5,0.1,0.659427045329873
22,7,948,0.25,0.75,0.001,0.480370283030681
22,7,948,0.25,0.75,0.01,0.628532348661719
22,7,948,0.25,0.75,0.1,0.660809475074687
22,7,948,0.25,1,0.001,0.487283591245956
22,7,948,0.25,1,0.01,0.632739706641908
22,7,948,0.25,1,0.1,0.661876665168372
22,8,863,0.75,0,0.001,0.66806154280872
22,8,863,0.75,0,0.01,0.823694757954628
22,8,863,0.75,0,0.1,0.841584810383085
22,8,863,0.75,0.25,0.001,0.671371260941416
22,8,863,0.75,0.25,0.01,0.82491731657275
22,8,863,0.75,0.25,0.1,0.841678602211326
22,8,863,0.75,0.5,0.001,0.674415505474333
22,8,863,0.75,0.5,0.01,0.825642879456939
22,8,863,0.75,0.5,0.1,0.841694227995718
22,8,863,0.75,0.75,0.001,0.676080676863772
22,8,863,0.75,0.75,0.01,0.826042292741725
22,8,863,0.75,0.75,0.1,0.84162083260075
22,8,863,0.75,1,0.001,0.676647583822206
22,8,863,0.75,1,0.01,0.826189167824767
22,8,863,0.75,1,0.1,0.841468241088847
22,8,863,0.5,0,0.001,0.563582239127211
22,8,863,0.5,0,0.01,0.797157325550786
22,8,863,0.5,0,0.1,0.82976312927079
22,8,863,0.5,0.25,0.001,0.564413595211818
22,8,863,0.5,0.25,0.01,0.800509976016187
22,8,863,0.5,0.25,0.1,0.830878444673862
22,8,863,0.5,0.5,0.001,0.566641756739582
22,8,863,0.5,0.5,0.01,0.802115949887645
22,8,863,0.5,0.5,0.1,0.831888407058341
22,8,863,0.5,0.75,0.001,0.56813439554307
22,8,863,0.5,0.75,0.01,0.803279786737727
22,8,863,0.5,0.75,0.1,0.832762469528243
22,8,863,0.5,1,0.001,0.569007770140173
22,8,863,0.5,1,0.01,0.804113179660484
22,8,863,0.5,1,0.1,0.833507738112828
22,8,863,0.25,0,0.001,0.535364701735636
22,8,863,0.25,0,0.01,0.788193473518415
22,8,863,0.25,0,0.1,0.818185869195565
22,8,863,0.25,0.25,0.001,0.542726166477478
22,8,863,0.25,0.25,0.01,0.796572592315008
22,8,863,0.25,0.25,0.1,0.820452962272696
22,8,863,0.25,0.5,0.001,0.547597569299964
22,8,863,0.25,0.5,0.01,0.799744165791784
22,8,863,0.25,0.5,0.1,0.822202252583456
22,8,863,0.25,0.75,0.001,0.551977985161303
22,8,863,0.25,0.75,0.01,0.802331833390646
22,8,863,0.25,0.75,0.1,0.823734480062121
22,8,863,0.25,1,0.001,0.555960800041189
22,8,863,0.25,1,0.01,0.804556469343914
