trait,sweep_kind,sweep_id,delta,comparison,mean_diff,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.00124933232283577,0.00738670709173311,-0.0161074412637103,0.0123853458934034
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.0575158930986841,0.00987428874792075,0.0393772835196047,0.077264947351908
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda1_true − MELD_lambda0_true,-0.00171711503901526,0.00344477069685681,-0.00818659574440674,0.00520438233250462
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − EUR,0.206299314534036,0.0132549508639742,0.179168076923894,0.232515290467648
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − EAS,0.273462181734359,0.0159459383914908,0.241870064000343,0.304534844022788
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − AFR,0.160337321774581,0.0182755592209743,0.124078476034591,0.195710897400232
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − AMR,0.214267023827024,0.0227983778696936,0.170409109939644,0.259282940528182
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − MELD_lambda0_equal,0.00346673311075637,0.00504667826550278,-0.00678932482425617,0.0127961035348557
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.0399451503038085,0.00651492185795,0.0282777433237393,0.0541471649678748
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda1_true − MELD_lambda0_true,-0.000393018807251256,0.00203626664142211,-0.00441448520572781,0.0035883167387215
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − EUR,0.149917049391853,0.0119388441159454,0.127878997702838,0.174461015084975
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − EAS,0.213067461902316,0.0162651667505039,0.182150616147309,0.244825860605255
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − AFR,0.110140159064481,0.0132562741151953,0.083720234637056,0.13577106095713
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − AMR,0.162162465132023,0.0194758596185461,0.124243118413437,0.200601415505384
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.013077356311959,0.00409444791162654,0.00532330249489646,0.0210258197126993
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.0369136380170611,0.00658464932067871,0.0244171269977497,0.0504533015933224
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.000497992264519089,0.00172746960785612,-0.00402538915875447,0.00273304300290719
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − EUR,0.273791175458557,0.0197231770849727,0.236813963691966,0.312367114156797
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − EAS,0.430315289252991,0.01970939755395,0.392192733948505,0.469458477227697
IPF,EUR_AFR,EUR_AFR_07,0.001,MELD_lambda0_true − AFR,0.209924782471964,0.0193153415651108,0.170413627356234,0.245913786746936
