trait,delta,candidate,mean,sd,lo95,hi95
HF,0.001,AFR,0.625212746736844,0.0228029789699848,0.580735803046618,0.669997202851786
HF,0.001,CSA,0.704074875939328,0.0207725902715911,0.663090717111207,0.74568144124086
HF,0.001,AMR,0.736158820011599,0.0172683419642426,0.702815586584718,0.770633781452165
HF,0.001,MID,0.743339729673021,0.0266266000846822,0.691774572993841,0.795669407621637
HF,0.01,MELD_lambda0_afproj,0.898601472800082,0.00879222955192717,0.881138735356524,0.915703834649604
HF,0.01,MELD_lambda0_reportN,0.898618432932923,0.00885203605245445,0.880610351077313,0.916040847982602
HF,0.01,MELD_lambda0_equal,0.891012720856755,0.00928827982722588,0.871197190955503,0.907500451807806
HF,0.01,MELD_lambda1_afproj,0.897427091661841,0.00914171856593968,0.878749328867794,0.914289469593573
HF,0.01,EUR,0.864343300687913,0.00936510426607306,0.846020275922169,0.883420284074988
HF,0.01,EAS,0.81893257707838,0.010424546773473,0.799156970043723,0.839555626001087
HF,0.01,AFR,0.748857691200287,0.0125717341234165,0.724388244753638,0.773905014401367
HF,0.01,CSA,0.85422685431444,0.0107074067856962,0.833674056925757,0.875366544025425
HF,0.01,AMR,0.858435202938599,0.0114721479129125,0.835934140399506,0.880210735035771
HF,0.01,MID,0.854527147013999,0.012303772830187,0.830082292122693,0.878850777440803
HF,0.1,MELD_lambda0_afproj,0.895185806901385,0.009174920951668,0.876138612561535,0.912240060298893
HF,0.1,MELD_lambda0_reportN,0.895164364612049,0.00900406968825377,0.875886769785196,0.91206669797152
HF,0.1,MELD_lambda0_equal,0.884595035083569,0.00934464170928068,0.865871008863788,0.902210584339766
HF,0.1,MELD_lambda1_afproj,0.894556764712495,0.00926159198772032,0.874865609395234,0.911590879725623
HF,0.1,EUR,0.879070561839918,0.00940334156903579,0.859339524106347,0.896827276234923
HF,0.1,EAS,0.837984556261121,0.0103758892143322,0.816378944360881,0.857214041052568
HF,0.1,AFR,0.762983507720243,0.0133001905163685,0.73604986627819,0.788398055291038
HF,0.1,CSA,0.864220370674809,0.00990963926764013,0.845542709207894,0.883010184811948
HF,0.1,AMR,0.870311250456011,0.0104801594207408,0.849308737056542,0.889303026408407
HF,0.1,MID,0.867556271127526,0.0104542208240424,0.846742545892642,0.88768407176934
IPF,0.001,MELD_lambda0_afproj,0.777033057347185,0.0175574793325813,0.742883581151169,0.812185800934024
IPF,0.001,MELD_lambda0_reportN,0.777137897777942,0.01731608631113,0.744567681499719,0.811435608876995
IPF,0.001,MELD_lambda0_equal,0.858487016719587,0.010955603670503,0.83719085035931,0.87979838091363
IPF,0.001,MELD_lambda1_afproj,0.770600218878526,0.0180187093049148,0.733870014781193,0.805893037347637
IPF,0.001,EUR,0.67272358876041,0.0274792855145254,0.617713601478702,0.724426813858585
IPF,0.001,EAS,0.563286362355011,0.0329848811708821,0.499205653969943,0.629693033874843
IPF,0.001,AFR,0.581407083377821,0.029676944788984,0.522472675839684,0.637922651575091
IPF,0.001,CSA,0.681324680153725,0.025132321116434,0.631689372815128,0.728938848833266
IPF,0.001,AMR,0.691902651530583,0.0255944190862904,0.642527635782322,0.743615968968825
IPF,0.001,MID,0.725243779447512,0.0223810375850726,0.682990240650781,0.769202956818066
IPF,0.01,MELD_lambda0_afproj,0.877869068967007,0.0102474320336124,0.857280069495496,0.897529261824949
IPF,0.01,MELD_lambda0_reportN,0.877904028028134,0.0103389618985117,0.856877043049466,0.896513125105712
IPF,0.01,MELD_lambda0_equal,0.876451686763217,0.00992687272187296,0.855324685283043,0.894683421471645
IPF,0.01,MELD_lambda1_afproj,0.875364804317373,0.0101583128065509,0.854589822580553,0.894017972298029
IPF,0.01,EUR,0.851736062668263,0.0110618438449646,0.829948936077727,0.873552561335176
IPF,0.01,EAS,0.787005796066636,0.0152711489253258,0.757870338322843,0.816401710104548
IPF,0.01,AFR,0.720263489323327,0.0167626871449281,0.687383295074077,0.753047239052524
IPF,0.01,CSA,0.838188937997156,0.0127882646476382,0.812322226954121,0.862684783339648
IPF,0.01,AMR,0.841844697417294,0.013164877976924,0.816401419617986,0.86724455327306
IPF,0.01,MID,0.838606573456164,0.0121815835018476,0.814266795222275,0.861747457627137
IPF,0.1,MELD_lambda0_afproj,0.8838255554776,0.00929964687879443,0.864699534049651,0.901591872669253
IPF,0.1,MELD_lambda0_reportN,0.884093464026491,0.00914640995049236,0.865176811872757,0.901361419278211
IPF,0.1,MELD_lambda0_equal,0.872475564689278,0.0100429920491181,0.852448436390499,0.89144606919332
IPF,0.1,MELD_lambda1_afproj,0.880924661720763,0.00924668456645529,0.861937200896888,0.897998089734056
IPF,0.1,EUR,0.872751110166165,0.00928602388341501,0.853725587479954,0.89040484433614
IPF,0.1,EAS,0.825186384397638,0.0118024348447198,0.801130465339667,0.847512259754829
IPF,0.1,AFR,0.739510732719258,0.0153455300186275,0.710539042367878,0.771243524008397
IPF,0.1,CSA,0.854258266237146,0.0115082819167889,0.830668260784166,0.876012250887938
IPF,0.1,AMR,0.859909770046445,0.0102668945339235,0.840031483474544,0.880736960401873
IPF,0.1,MID,0.853274859666731,0.0109681010821326,0.830354536318271,0.87355230707166
Stroke,0.001,MELD_lambda0_afproj,0.809197813393706,0.015022883741817,0.780067399180595,0.839705280484199
Stroke,0.001,MELD_lambda0_reportN,0.812846573059303,0.0148052635305641,0.783116938034384,0.841328705260393
Stroke,0.001,MELD_lambda0_equal,0.877587627840705,0.00880467942661559,0.859469329732716,0.894011199054587
Stroke,0.001,MELD_lambda1_afproj,0.814743143017546,0.0147902074951173,0.786249414844886,0.844392949575326
Stroke,0.001,EUR,0.652331603024457,0.0240564269052921,0.603659641708109,0.69887770301946
Stroke,0.001,EAS,0.656878329333742,0.029115371677875,0.597751223950514,0.712756217223939
Stroke,0.001,AFR,0.61020532561984,0.0229468559774398,0.568203296671891,0.656880689215998
Stroke,0.001,CSA,0.705546857778709,0.0202577838909431,0.666115154991108,0.746805431418332
Stroke,0.001,AMR,0.671760168896162,0.0239673170141698,0.625819000289039,0.717644091341442
Stroke,0.001,MID,0.719107919096674,0.0221984035647771,0.67608194294601,0.763151852242305
Stroke,0.01,MELD_lambda0_afproj,0.887591285709337,0.00929603094946227,0.8687230468898,0.905320524170272
Stroke,0.01,MELD_lambda0_reportN,0.888050307425712,0.00927986573674515,0.869448139293169,0.904597710234145
Stroke,0.01,MELD_lambda0_equal,0.887245862702982,0.00965819438936169,0.867760609709,0.905174232074864
Stroke,0.01,MELD_lambda1_afproj,0.8884051575199,0.00931577537829246,0.870611499852962,0.906031510087131
Stroke,0.01,EUR,0.835471763341381,0.0136617755554774,0.808927613086545,0.861672216883967
Stroke,0.01,EAS,0.842493716715743,0.0118555891242659,0.81901335369022,0.865588099048395
Stroke,0.01,AFR,0.733986062849176,0.0170516663768513,0.698510472325575,0.76610493787348
Stroke,0.01,CSA,0.850848474421961,0.0106676838859477,0.830095095652719,0.871730102477672
Stroke,0.01,AMR,0.831134420576236,0.0141642023213267,0.803255700329422,0.857466391175611
Stroke,0.01,MID,0.837987566477034,0.0121336124054748,0.81524473311906,0.861688599145147
Stroke,0.1,MELD_lambda0_afproj,0.887558543415413,0.00962280479161623,0.867703092875423,0.905396268638266
Stroke,0.1,MELD_lambda0_reportN,0.887843361222663,0.00936664970797654,0.868588386980756,0.90513057078596
Stroke,0.1,MELD_lambda0_equal,0.880843392078604,0.0103138829897167,0.858502058504377,0.899627364116068
Stroke,0.1,MELD_lambda1_afproj,0.886915567057214,0.00949344590671555,0.867134201765534,0.904185903418106
Stroke,0.1,EUR,0.857012295589419,0.0117391657944987,0.832959962975511,0.878695021422553
Stroke,0.1,EAS,0.860347984851073,0.0107383061378,0.838236562492824,0.880710962549467
Stroke,0.1,AFR,0.752392338300055,0.0172654800822857,0.716938707171433,0.785166503225387
Stroke,0.1,CSA,0.863421565266215,0.0108955312157729,0.84192543336125,0.883283277421705
Stroke,0.1,AMR,0.851865996098549,0.012822773649955,0.826130888462746,0.876208967929852
Stroke,0.1,MID,0.851398396759011,0.0116687742804197,0.827622431840115,0.87356818496358
VTE,0.001,MELD_lambda0_afproj,0.78665344978155,0.0140324284390077,0.758717941589257,0.813295414500593
VTE,0.001,MELD_lambda0_reportN,0.793044195059979,0.0135364128409934,0.766585400877883,0.819245047268253
VTE,0.001,MELD_lambda0_equal,0.856552932648655,0.0105518538454753,0.834118386695393,0.876118876807268
VTE,0.001,MELD_lambda1_afproj,0.789658739821013,0.0136960484322001,0.762025850186688,0.814971791046836
VTE,0.001,EUR,0.707706118115936,0.0217723489174433,0.663105463623302,0.749105845574772
VTE,0.001,EAS,0.573075156587456,0.0221589733084558,0.531695141468108,0.617502107880671
